,state,GEOID,year,total_state_pop,acp_outreach,ag_acep,ag_csp,ag_eqip,ag_rcpp,ag_reap,ag_reconnect,ag_urban_forest,airport_infrastructure_comp,airport_infrastructure_formula,airport_terminal,asap,bric,bridge,brownfield,buses,capital_investment,carbon_capture_dem,cdbg_entitlement,charge_fuel_infra,clean_hydrogen,clean_school_bus,climate_coasts,coc,crisi,culvert_restore,cwsrf_emerging_combined,cwsrf_general_combined,dac_hubs,dhs_flood,doe_battery,doe_bead_initial,doe_carbon_storage,doe_grid_innovation,doe_grid_resilience,doe_hydrogen_electro,doe_nuclear,doe_rural_energy,doe_weatherization,doi_aging_infra,doi_drought,doi_rural_water,doi_water_recycle,doi_water_storage,dot_tc,dwsrf_emerging_combined,dwsrf_general_combined,dwsrf_lead_combined,elderly,epa_great_lakes,ferry_rural_comms,fhwa_app,fhwa_bridge,fhwa_carbon,fhwa_cmaq,fhwa_ev,fhwa_highway_freight,fhwa_metro_plan,fhwa_nhpp,fhwa_protect,fhwa_protect_comp,fhwa_railway,fhwa_safety,fhwa_spr,fhwa_stp,fhwa_tap,fmcsa_21,fra_intercity_rail,fra_rail_cross,fs_wildfire,fta_5305_combined,fta_5307_5340,fta_5310,fta_5311_combined,fta_5329_e,fta_5337_combined,fta_5339,fta_rail_vehicle,grrp_comp,grrp_elements,grrp_leading,hcv,home,hud_disability,hud_esg,hud_hopwa,hud_htf,indian_health,indian_water,infra,land_port,low_no_emission,mega,motor_carrier_safety,national_lab,natural_gas,nhtsa,ntia_middle_mile,ports,public_hsg,public_hsg_cap,raise,reconnect_community,rural_surface,s8_project,safe_streets,smart_grid,tribal_broadband,ttp,usace
11,GA,13,2022-2023,10516579,1000000,0,5249389,5166085,35329268,3024930,45965443,17539100,0,1.10E+08,49500000,0,0,772000,4000000,0,16269200,0,1.65E+08,6120067,0,1.69E+08,420000,96419176,0,0,6794000,80435080,0,1548127,1.78E+08,1.00E+08,0,2.49E+08,0,6000000,0,6334444,9069657,0,0,0,0,0,3291250,56324000,1.34E+08,1.28E+08,24791896,0,4000000,27620003,90000000,81874869,1.50E+08,48727401,90454515,20704050,1.89E+09,93097592,1500000,17871075,1.96E+08,64836757,7.87E+08,1.13E+08,27613156,0,3218460,1379593,10485815,2.77E+08,23651278,33833013,3636918,1.70E+08,25493517,0,0,750000,0,1.38E+09,85261653,4952338,14493449,77808207,28508443,0,0,15073107,0,53312564,0,5894919,0,8406923,41145338,14971998,0,2.22E+08,1.67E+08,1.00E+08,2.29E+08,12000000,5.33E+08,43259102,0,0,0,54000000
12,HI,15,2022-2023,1420074,1090000,0,568733,1350228,6483580,70987,0,42585500,1000000,97751578,11200000,0,8329318,0,1000000,12000000,1.25E+08,0,26266523,0,0,4990000,23972000,32674398,0,0,3112000,36846650,0,0,0,1.00E+08,0,17925000,95313716,0,0,0,578954,0,0,0,1080244,0,0,22750000,52801080,70891500,6705245,0,0,0,1.46E+08,10592585,22799112,6382785,11848605,4660352,2.44E+08,12044527,5255908,2450000,25239159,8457453,1.04E+08,12409181,2916851,0,0,6062427,1551480,91047415,3755774,3923191,914572,2846936,15776540,0,0,0,0,3.95E+08,12558171,2264272,2305324,6333312,6810836,0,0,74634000,0,63186682,0,0,0,0,16058828,37356955,47326300,60510409,29928216,99837010,19145625,0,70198355,18630400,0,17284763,1771709,0
13,IA,19,2022-2023,3150011,83234,9610808,5114170,3855498,61266564,95513,15254038,15730743,0,21795154,39019014,0,13872342,300000,4142400,36771416,0,0,75780517,0,0,17440000,0,25770665,16233729,0,5437000,64386120,0,0,0,1.00E+08,0,58000000,0,0,0,9480000,11993829,0,0,45166667,0,0,295000,35425000,81550960,96239370,2841951,0,0,0,1.87E+08,32051396,24860342,18546651,34428848,5285734,7.39E+08,36444735,69519400,11503024,72279756,24598069,3.17E+08,35392165,11817261,0,7756862,0,1685511,67058481,7661324,18558315,0,250551,12431906,0,0,0,7500000,2.46E+08,26490584,1186033,6588558,3705022,7950546,4816442,0,34000000,0,30514611,0,3998460,24500000,0,19115165,60990070,0,19621699,23466116,59842000,1958000,57300000,1.15E+08,24834779,0,424652,493950,0
14,ID,16,2022-2023,1754367,280641,0,1720181,2486109,9222561,7191103,22764624,5715890,1500000,10032369,6160000,0,7082856,0,0,384000,0,0,25346551,6202856,0,5135000,0,7464215,0,7029950,1972000,23355620,0,0,0,1.00E+08,0,0,6214275,0,0,0,4947543,68080000,0,0,4000000,0,542859,22750000,52801080,70891500,1783754,0,0,0,90000000,18269778,28202676,10793871,20037069,4314506,4.21E+08,20773991,0,3921758,43835557,14362815,1.82E+08,18729526,6158092,0,36000000,883844,1551480,30744022,4948074,11792232,0,0,10550114,0,0,0,0,1.09E+08,13723938,1072279,2220139,0,6048846,0,5581,0,45000000,17386450,0,1031000,0,0,10593696,6209733,0,2343317,3429920,41508512,10900000,0,62130408,2512332,20984817,500000,7532844,6100000
15,IL,17,2022-2023,12716164,1620000,929864,4905076,2827331,20503717,35168722,1.22E+08,23339787,0,9949024,82549404,1.85E+08,28077460,1.44E+08,7200171,64519735,2.65E+08,0,3.21E+08,14962506,3.33E+08,5.41E+08,0,2.59E+08,14586009,0,18172000,2.15E+08,0,6774196,0,1.00E+08,17736972,0,0,0,0,0,33761146,0,0,0,0,0,1242859,80196000,1.80E+08,3.90E+08,1.13E+08,0,0,0,5.95E+08,87581778,2.42E+08,53653804,99599585,45469633,2.02E+09,99586757,9026212,22665502,2.06E+08,70988663,8.65E+08,97934442,27802741,93600000,24000000,58950,17479994,1.07E+09,30362853,24951046,7323394,7.78E+08,41430404,3.98E+08,0,3463120,5580000,2.57E+09,1.22E+08,25583150,28341216,42419549,48238806,0,0,95000000,0,52126191,1.17E+08,862500,3.17E+08,0,53117244,14557740,8000000,5.41E+08,3.37E+08,1.51E+08,1.21E+08,52860638,1.31E+09,28391713,72569133,0,0,1.11E+09
16,IN,18,2022-2023,6696893,718719,4351809,4081318,3721526,32148260,2181265,0,25967730,1500000,10224342,25220000,0,6224935,0,6822150,41878425,2.38E+08,13185241,1.34E+08,4245267,3.33E+08,44814635,307000,59956692,10802578,0,9682000,1.15E+08,0,0,2.00E+08,1.00E+08,98240569,0,0,0,0,0,17140526,0,0,0,0,0,597859,36205000,85578980,1.30E+08,21609345,1386054,0,0,1.49E+08,60624858,1.04E+08,35958648,66751397,13947690,1.40E+09,68934807,3520000,15816939,1.43E+08,47811909,5.73E+08,76548532,17867756,0,21172211,50000,6053856,2.23E+08,18544543,24128429,0,60407543,20378781,0,0,353873,0,5.74E+08,58540065,6989191,11709743,14744322,17136936,0,0,0,0,26080336,0,4409801,0,7525014,34295981,11684089,0,88300020,83339697,81118320,2368000,0,3.87E+08,11866978,2531797,0,103260,0
17,KS,20,2022-2023,2912619,800000,1890695,6364741,3315698,29990848,4214131,61309243,1250000,0,10362060,14111124,0,2039650,63000000,500000,5194000,0,0,51903098,0,0,53585000,0,27018128,46966427,0,3627000,42941850,0,0,0,1.00E+08,0,58000000,1.03E+08,5000000,0,0,6360434,50000000,0,0,0,0,542859,26051000,60092750,77657590,3458985,0,0,0,90000000,24569486,20944972,14261043,26473312,5190544,5.66E+08,27937267,0,13245603,50979365,18806853,2.34E+08,35587691,10934392,0,27453220,340200,2205805,58666654,6724383,16730594,0,519146,11709109,0,0,750000,0,1.64E+08,24098792,1765126,4537346,2970108,7713330,355350,0,0,0,14536259,0,1972171,0,580800,20650163,42514219,0,58376386,62581800,88089867,1000000,0,1.11E+08,14440034,11872952,4459317,2603225,0
18,KY,21,2022-2023,4461952,90200,0,2534917,3567725,45731708,606197,77534912,14525250,0,47424685,16247950,0,0,1.39E+09,4498660,22247530,0,0,88035514,0,0,33803020,0,52512243,34590500,0,5114000,60548480,0,2744067,3.16E+08,1.00E+08,8999989,0,0,0,0,6334444,11410325,0,0,0,0,0,2656250,34201000,75822010,98258330,10478863,0,0,27539491,1.89E+08,43430707,30151801,25074182,46546153,6750609,1.00E+09,49383826,24490000,7923916,1.06E+08,33411643,4.33E+08,44515550,12176401,0,0,822115,2512903,94466366,10945579,30197148,0,3916,13802912,0,7360000,1500000,0,5.29E+08,42608780,4788996,7684503,12289115,11075350,0,0,17331850,0,9451080,1.25E+08,2637354,0,0,19797988,0,4912631,1.41E+08,1.28E+08,54232540,31285000,0,2.73E+08,55016248,2531797,0,0,4.67E+08
19,LA,22,2022-2023,4664616,909800,0,4946807,2342092,8333333,51366,0,25937338,1400000,15960302,17600000,0,50872254,60000,6372900,0,0,15132576,1.01E+08,0,6.00E+08,3.54E+08,24099667,1.15E+08,78104444,0,4417000,52296850,6.00E+08,1.35E+08,3.20E+08,1.00E+08,68380784,2.49E+08,54828178,0,0,0,3941951,0,0,0,0,0,4872250,33046000,75610700,1.29E+08,14604717,0,5224965,0,4.38E+08,45936660,25193052,26486472,49167838,11456598,1.06E+09,52233273,0,9049908,1.11E+08,35190868,4.64E+08,40667168,10750574,0,0,85661,3693097,1.02E+08,13013536,17418786,1220737,14835191,16030397,0,0,0,0,8.78E+08,42564514,10470452,8763758,28585058,13416869,0,0,2.86E+08,0,78319261,1.50E+08,5816778,0,27390895,27757793,2737648,10000000,1.76E+08,1.10E+08,1.10E+08,78647718,25000000,1.96E+08,7602200,2531797,0,7239952,1.29E+08
20,MA,25,2022-2023,6873003,250000,0,157293,1204792,0,2014585,0,22806762,0,61078934,84500000,66602931,61496244,3.95E+08,6240000,54000000,48410033,0,1.99E+08,2462612,0,1.50E+08,0,2.04E+08,1.08E+08,2000000,13643000,1.62E+08,0,0,0,1.00E+08,0,0,0,99500000,0,0,16461851,0,0,0,0,0,597859,51466000,1.18E+08,1.32E+08,63188431,0,10839134,0,4.87E+08,36372875,1.40E+08,22919970,42547207,23953966,8.39E+08,41358565,3702128,5143120,89936062,30369832,3.60E+08,39962622,12358968,0,0,0,9849020,7.94E+08,18080939,5642157,4563345,4.39E+08,25490706,0,20000000,750000,7620000,3.22E+09,76464506,16194848,17559382,23136223,27312723,0,0,0,0,1.66E+08,0,2846238,0,21275059,24684499,0,33835953,3.94E+08,2.28E+08,75489110,3.45E+08,0,2.42E+09,52877987,74656749,9130692,2170236,0
21,MD,24,2022-2023,6037624,2730000,8031061,11245,1398500,34823626,0,0,34359369,115000,17977511,38000000,7109500,0,560000,2291543,25000000,1.03E+08,0,1.04E+08,15000000,0,14125000,0,1.15E+08,15984317,0,9717000,1.15E+08,0,0,0,1.00E+08,0,0,33567016,21500000,0,0,7209636,0,0,0,0,0,3006250,43554000,1.03E+08,1.06E+08,42009871,0,8061250,22251450,1.76E+08,36633670,1.18E+08,22678122,42098254,18478986,8.45E+08,41655109,0,4827699,90933208,30131455,3.61E+08,41258217,11832386,6.95E+09,1534280,0,8242436,5.64E+08,15943547,10155607,2605811,3.08E+08,29477292,2.14E+08,0,2196119,20000000,1.58E+09,41905199,13108668,9006972,30801837,16643682,0,0,0,0,56629131,0,1800686,0,0,22385743,15438845,0,1.93E+08,70433983,59000000,14362759,0,7.23E+08,71287358,0,0,0,37507000
22,ME,23,2022-2023,1340825,1229198,0,607158,986473,11888132,166452,0,0,0,12572145,15203825,0,9387572,0,10072850,7852320,0,0,35591743,15000000,0,13340000,5855000,34095168,3218263,35119271,3111000,36825730,0,0,0,1.00E+08,0,0,0,0,0,10000000,7645670,0,0,0,0,0,5312500,22750000,52801080,70891500,7395080,0,40091474,0,90000000,11622222,22663513,6966201,12931622,4908917,2.68E+08,13215299,0,2548891,27831754,9233925,1.16E+08,11511035,4046887,27492000,0,258251,1551480,34856564,3544031,10576770,0,26311813,9029630,0,0,231623,0,2.45E+08,12342519,3115577,3107891,1470555,6048846,0,0,77100000,1.85E+08,2047407,0,536900,0,0,16728495,30016472,0,37563034,24138218,78610298,22400000,27680000,4.47E+08,2240154,30306795,1000000,7150855,0
23,MI,26,2022-2023,9973907,1264125,0,3952194,2724394,29559756,8158581,1.20E+08,32949697,3711000,9784356,75512870,0,20630394,0,6544975,30126406,0,0,2.43E+08,8000000,3.33E+08,2.29E+08,1475000,1.65E+08,20385000,0,17276000,2.05E+08,0,0,0,1.00E+08,0,0,1.00E+08,80000000,0,0,39054557,0,0,0,0,0,3594109,54525000,1.25E+08,1.77E+08,24495412,26956308,16628285,0,2.43E+08,65438918,1.63E+08,39733357,73758533,27595216,1.51E+09,74408740,50890158,16058746,1.55E+08,52681937,6.29E+08,89939063,22638532,0,24388400,0,10427283,2.65E+08,27935753,31725143,1285849,7163350,29209543,0,0,0,13360000,9.57E+08,90229680,5562143,21290235,21992566,27342748,0,0,1.05E+08,0,10699237,0,1316554,29700000,0,42716876,61256706,27081586,1.53E+08,1.29E+08,83669343,36097769,14400000,9.40E+08,99051499,25472843,2999850,22228235,5.17E+08
24,MN,27,2022-2023,5600166,893411,937475,5955721,2973396,35000000,925039,1.32E+08,33438471,546400,64748949,34244500,0,3485312,269600,2000000,11047642,7.28E+08,0,1.05E+08,0,3.08E+08,99839635,175000,73892152,2623000,0,7386000,87440370,0,0,0,1.00E+08,0,1.16E+08,26214275,22900000,0,7546667,23786659,0,0,45166667,0,0,2951250,34623000,80242850,1.02E+08,19404146,99997799,0,0,1.30E+08,41421807,70928032,24608204,45681139,12184339,9.55E+08,47099563,16296000,13006381,95270780,32626378,3.98E+08,56910915,13836365,0,8504563,920045,5302214,2.61E+08,12431703,23560250,1680535,62781273,20793042,0,0,714351,0,6.83E+08,40187194,8808614,9119723,9311520,15379049,2304270,0,5.89E+08,2.85E+08,33611538,0,0,0,0,46142376,4963359,0,96942620,93751659,1.52E+08,9000000,51309600,5.65E+08,23968438,25000000,52501528,23352021,100000
25,MO,29,2022-2023,6124160,1675000,1374045,5113355,4574628,20712086,67161,2.30E+08,21000000,2660000,37238690,12026437,0,9375000,0,3011000,5194000,24422099,0,1.28E+08,3610708,0,1.27E+08,0,66928905,12804860,0,11138000,1.32E+08,0,7086862,1.97E+08,1.00E+08,0,58000000,0,0,0,0,15145576,0,0,0,0,0,3254109,39076000,89579800,1.26E+08,25860888,0,0,0,2.09E+08,61543490,51879609,35725959,66319447,13851138,1.42E+09,69979358,0,12121126,1.49E+08,47518409,6.10E+08,66744099,17323601,0,2000000,250000,5711574,1.82E+08,15004336,26622419,2675183,46240035,17157816,98150000,18160000,1849738,0,5.96E+08,54133596,9916699,11190965,15953830,16814524,0,0,92883609,0,8309635,0,302215,0,10000000,40841383,33752325,8768800,1.14E+08,95494526,99391557,13114420,0,2.91E+08,12321723,59003734,0,0,12790000
26,MS,28,2022-2023,2981835,1800000,0,10264849,5280858,45833333,226503,73043204,16812500,1674000,18131141,15852358,0,315000,0,5089110,0,0,0,56458331,0,0,78505000,3519000,13487187,1.11E+08,0,3619000,42861150,0,2209856,0,1.00E+08,9000000,0,0,0,0,12668889,4205310,0,0,0,0,0,5662500,25834000,61410320,74121820,8319229,0,0,13480000,90000000,31553150,24692757,18251776,33881462,4531482,7.27E+08,35878192,4800000,7633475,74846881,24293634,3.11E+08,36187841,10256441,0,0,250000,1551480,26547445,6628560,22079884,0,356314,9854177,0,0,0,0,3.81E+08,26358688,3752320,5002877,13275149,7433572,0,0,0,0,16929725,60000000,3508588,0,4851000,27255948,2737648,6123225,59169999,49995055,43876232,10188000,35000000,2.38E+08,2487611,0,0,5661314,37023705
27,MT,30,2022-2023,1061705,500000,6567750,4898512,2818274,31275854,1144899,93913438,2388401,450000,38582793,28300000,0,6230738,240000,5448199,1375920,0,0,17015134,0,3.33E+08,99306625,0,8444483,0,0,1972000,23355620,0,0,0,1.00E+08,0,0,6214275,0,0,7546667,6040692,22521926,0,2.19E+08,0,3000000,3006250,22750000,52801080,70891500,3564567,0,0,0,90000000,26440646,32766344,15483697,28742972,4790812,6.10E+08,30064909,2937900,4155086,64961118,20650724,2.71E+08,20083581,7492546,14900000,400000,14580532,1551480,15402496,2821617,15092465,0,0,8925602,0,0,0,0,86858644,9062886,1552150,1483106,1512514,6048846,3826537,1369585,34443681,0,53931567,0,1000000,0,0,13455399,11756500,0,10760386,9108313,85755627,98994958,49289622,49000528,16695145,1374536,1.28E+08,53600102,2635000
28,NC,37,2022-2023,10386227,1200000,3492000,5102795,3016057,25498373,2155785,67045808,9198538,0,49066870,72000000,0,93239723,2.42E+08,4500000,48526246,24403800,0,1.56E+08,5686737,0,3.69E+08,20158750,63722525,12701093,472000,7253000,85860780,0,4938539,1.50E+08,1.00E+08,0,0,0,9900000,0,13881111,11726977,0,0,0,0,0,1140718,67456000,1.54E+08,2.17E+08,27734002,0,1745241,32903513,1.97E+08,66369357,1.13E+08,39358804,73063236,15500540,1.53E+09,75466715,3668600,14339656,1.59E+08,52387144,6.50E+08,79530301,23515375,1.10E+09,1220000,3603564,7492271,2.31E+08,24680061,44305211,1696231,8142478,23999905,0,0,0,0,9.52E+08,83618756,9401801,13679475,33132907,29010916,0,0,1.00E+08,0,18889880,1.10E+08,4828811,0,0,40135382,11186163,0,2.34E+08,1.67E+08,1.25E+08,1250000,10400000,3.38E+08,12714017,24313856,500000,5907325,100000
29,ND,38,2022-2023,760394,800000,0,7145154,3036821,10000000,0,56703824,500000,0,19573504,1830000,0,7764750,0,3000000,7768742,0,3.50E+08,11110002,0,3.08E+08,15992375,0,5116796,11772708,0,1972000,23355620,0,63804610,1.15E+08,1.00E+08,38148520,58000000,6214275,4200000,0,0,5847856,80192239,0,77330000,0,0,147500,22750000,52801080,70891500,330687,0,0,0,90000000,15873437,23154799,9369101,17392217,4474122,3.66E+08,18049236,0,7874679,33618700,12362305,1.60E+08,14636766,6415249,0,30000000,248924,1551480,13952279,1947432,7740977,0,0,9033398,0,0,0,0,97653668,7070125,866521,966723,0,6048846,3569600,0,0,70000000,0,0,1367617,0,0,12508523,19710574,0,9858955,8944676,51694780,0,55000000,25280534,4878595,25000000,9137952,10807054,5.16E+08
30,NE,31,2022-2023,1923826,500000,304500,5250373,2452949,10752427,27721,3159820,11000000,0,17074883,30850000,0,1402003,440000,0,0,0,0,35159332,0,0,23040000,0,25642676,15224354,0,2055000,24332470,0,0,0,1.00E+08,0,58000000,6214275,0,0,0,6153436,450000,0,0,0,0,3006250,22750000,52801080,70891500,3770567,0,0,0,90000000,18611300,22643451,10907851,20248656,4416646,4.29E+08,21162380,0,7838183,40812002,14429490,1.81E+08,23074530,8947869,0,0,182866,1551480,42730819,3980665,11739034,0,0,10687332,0,0,0,0,1.78E+08,16585128,2291113,3102782,3204626,6143063,6654315,0,21172718,0,0,0,1126672,0,10216662,15822275,18187398,0,37374415,39871854,43355117,0,0,66183985,4065300,6699586,36501376,9668015,0
31,NH,33,2022-2023,1355244,0,0,458281,650458,0,1966511,0,2522017,250000,5653626,11116190,0,0,0,8353850,7736284,0,0,25273485,0,0,2765000,3800000,21079291,3563263,421600,4016000,47541140,0,0,0,1.00E+08,0,0,0,0,0,0,3888453,0,0,0,0,0,594222,22750000,52801080,70891500,9539133,0,0,0,90000000,10343416,22778166,6235210,11574656,4212643,2.38E+08,11761204,20258400,2450000,24587827,8267758,1.01E+08,13024659,3182084,0,0,0,1551480,39096116,4257966,6143182,0,29475132,10073860,0,0,750000,0,2.41E+08,10998895,703021,2198270,2808804,6048846,0,0,0,0,0,0,540787,0,0,10593696,0,0,28051201,20718783,39534391,0,0,1.06E+08,1170000,0,0,0,0
32,NJ,34,2022-2023,8885418,1426920,108623,78672,1227522,2411860,1526288,0,22794359,400000,2271858,4800000,34101121,70975277,1980000,4996106,91677500,5.19E+08,0,1.75E+08,10000000,2.50E+08,97060605,5042000,1.03E+08,59136891,0,16419000,1.94E+08,0,44073854,0,1.00E+08,0,0,0,0,0,0,13736805,0,0,0,0,0,350000,39351000,91896920,1.55E+08,47040214,0,20611037,0,4.92E+08,59964471,2.29E+08,37679773,69946388,33174217,1.38E+09,68183900,0,7565517,1.49E+08,50061821,5.98E+08,60670822,17829362,2.58E+09,0,225750,14126993,1.81E+09,32789236,5935663,3715641,6.21E+08,62013882,0,0,0,0,2.04E+09,80476795,14406007,15509969,34139893,39111354,0,0,34000000,0,0,0,2056860,25500000,0,38029750,24176692,25000000,3.38E+08,2.13E+08,69048000,13215036,0,1.29E+09,45518921,0,0,0,1.83E+08
33,NM,35,2022-2023,2097021,1504234,0,5673440,4801276,3332927,1058452,3.10E+08,20500000,0,11780282,14000000,0,0,72000000,1333333,11187649,0,0,36368573,67770009,0,3950000,0,27180890,0,0,1972000,23355620,0,0,0,1.00E+08,41409910,0,53364586,20000000,0,12666667,4864265,30370000,1205182,2.34E+08,300000,0,5662500,22750000,52801080,70891500,5703760,0,0,0,90000000,23773013,25119758,13858406,25725884,4289183,5.48E+08,27031619,2000000,3760296,58382679,18477598,2.30E+08,24949858,10819641,0,31171088,39932664,1551480,70957968,6075883,15664532,0,26920414,11692578,0,6400000,0,2300000,1.82E+08,17610280,3602102,3201553,4009761,6587578,43919526,217974,45000000,0,28558370,0,1248103,16600000,10000000,27046898,24929312,0,29428613,26585825,58991178,0,59800000,67022342,8199200,6699586,39300111,78601867,47700000
34,NV,32,2022-2023,3030281,1200000,0,407500,585929,0,996000,27751092,11247136,871000,90760555,31000000,0,10582155,0,4017000,115000,1.50E+08,0,45900828,0,0,48398020,0,31189758,0,0,1972000,23355620,0,0,1.08E+08,1.00E+08,4500000,0,0,0,0,0,2838320,37430000,0,0,1000000,0,295000,25437000,58026930,77617360,2205316,0,0,0,90000000,22191120,71684195,13703375,25438093,8747717,5.12E+08,25232856,1624978,2601925,55405875,18259409,2.23E+08,21294772,6897593,1.50E+09,0,5772411,4054991,1.35E+08,7652649,9242315,0,8488618,17844917,0,0,0,0,3.97E+08,25399578,3561302,3963828,8695929,11454998,0,0,1.17E+08,0,17221648,0,380176,0,0,17673454,51567387,0,29888071,16597476,1.04E+08,31823844,0,48472419,22542004,0,14914775,11501134,0
35,NY,36,2022-2023,19514849,3075000,0,384919,2058215,0,6147601,0,73546864,751890,14616796,43935000,2.56E+08,1.97E+08,1600000,7800000,27883200,4.58E+08,0,6.34E+08,30495007,0,1.15E+09,6772000,5.11E+08,40497293,0,44350000,5.25E+08,0,0,1.17E+08,1.00E+08,0,0,17377945,1.40E+08,0,0,51852381,0,0,0,0,0,7053279,97395000,2.31E+08,2.86E+08,2.52E+08,0,14129005,0,8.18E+08,1.00E+08,4.03E+08,63345132,1.18E+08,66547963,2.31E+09,1.14E+08,1.13E+08,13088343,2.48E+08,83969813,1.00E+09,96984955,32424683,4.87E+09,11008000,203500,26871392,2.38E+09,39390767,31587691,10366523,2.30E+09,60330918,0,4080000,3838801,0,6.98E+09,2.81E+08,32737286,55743155,1.10E+08,1.15E+08,0,0,1.10E+08,40000000,1.86E+08,2.92E+08,14991626,1.91E+08,0,75319470,14547750,48008231,2.76E+09,1.69E+09,1.37E+08,4.79E+08,959305,4.09E+09,87687058,24821379,10697449,7040884,1500000
