CoC Name,GEOID,County Name,PPRN_23
AK-500 - Anchorage CoC,20078,Anchorage,1901913
AK-501 - Alaska Balance of State CoC,29013,Aleutians East Borough,6021
AK-501 - Alaska Balance of State CoC,29016,Aleutians West Census Area,7248
AK-501 - Alaska Balance of State CoC,29050,Bethel Census Area,4403
AK-501 - Alaska Balance of State CoC,29060,Bristol Bay Borough,1757
AK-501 - Alaska Balance of State CoC,29068,Denali Borough,4030
AK-501 - Alaska Balance of State CoC,29070,Dillingham Census Area,1682
AK-501 - Alaska Balance of State CoC,29090,Fairbanks North Star Borough,128562
AK-501 - Alaska Balance of State CoC,29100,Haines Borough,7436
AK-501 - Alaska Balance of State CoC,29105,Hoonah-Angoon Census Area,6218
AK-501 - Alaska Balance of State CoC,29110,Juneau City and Borough,70853
AK-501 - Alaska Balance of State CoC,29122,Kenai Peninsula Borough,87587
AK-501 - Alaska Balance of State CoC,29130,Ketchikan Gateway Borough,46397
AK-501 - Alaska Balance of State CoC,29150,Kodiak Island Borough,19298
AK-501 - Alaska Balance of State CoC,29158,Kusilvak Census Area,201
AK-501 - Alaska Balance of State CoC,29164,Lake and Peninsula Borough,2134
AK-501 - Alaska Balance of State CoC,29170,Matanuska-Susitna Borough,143727
AK-501 - Alaska Balance of State CoC,29180,Nome Census Area,5909
AK-501 - Alaska Balance of State CoC,29185,North Slope Borough,5703
AK-501 - Alaska Balance of State CoC,29188,Northwest Arctic Borough,331
AK-501 - Alaska Balance of State CoC,29195,Petersburg Borough,19473
AK-501 - Alaska Balance of State CoC,29198,"Prince of Wales-Hyder Census
Area",7257
AK-501 - Alaska Balance of State CoC,29220,Sitka City and Borough,15356
AK-501 - Alaska Balance of State CoC,29230,Skagway Municipality,5757
AK-501 - Alaska Balance of State CoC,29240,"Southeast Fairbanks Census
Area",8217
AK-501 - Alaska Balance of State CoC,29261,Valdez-Cordova Census Area,10924
AK-501 - Alaska Balance of State CoC,29275,Wrangell City and Borough,8308
AK-501 - Alaska Balance of State CoC,29282,Yakutat City and Borough,1249
AK-501 - Alaska Balance of State CoC,29290,Yukon-Koyukuk Census Area,5910
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",10216,Bessemer,233133
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",10228,Birmingham,5990664
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",19073,Jefferson County,2484281
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",19117,Shelby County,335582
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",19115,St. Clair County,203858
AL-501 - Mobile City & County/Baldwin County CoC,19003,Baldwin County,462127
AL-501 - Mobile City & County/Baldwin County CoC,11542,Mobile,2392386
AL-501 - Mobile City & County/Baldwin County CoC,19097,Mobile County,1651566
AL-502 - Florence/Northwest Alabama CoC,19033,Colbert County,204083
AL-502 - Florence/Northwest Alabama CoC,10810,Florence,128487
AL-502 - Florence/Northwest Alabama CoC,19059,Franklin County,108875
AL-502 - Florence/Northwest Alabama CoC,19077,Lauderdale County,122193
AL-502 - Florence/Northwest Alabama CoC,19079,Lawrence County,84447
AL-502 - Florence/Northwest Alabama CoC,19093,Marion County,91924
AL-502 - Florence/Northwest Alabama CoC,19133,Winston County,64433
AL-503 - Huntsville/North Alabama CoC,10594,Decatur,154013
AL-503 - Huntsville/North Alabama CoC,11218,Huntsville,511452
AL-503 - Huntsville/North Alabama CoC,19083,Limestone County,236190
AL-503 - Huntsville/North Alabama CoC,19089,Madison County,305776
AL-503 - Huntsville/North Alabama CoC,19103,Morgan County,162855
AL-504 - Montgomery City & County CoC,19001,Autauga County,147762
AL-504 - Montgomery City & County CoC,19011,Bullock County,42088
AL-504 - Montgomery City & County CoC,19051,Elmore County,169671
AL-504 - Montgomery City & County CoC,19085,Lowndes County,33327
AL-504 - Montgomery City & County CoC,11560,Montgomery,1695267
AL-504 - Montgomery City & County CoC,19101,Montgomery County,53542
AL-506 - Tuscaloosa City & County CoC,12268,Tuscaloosa,308406
AL-506 - Tuscaloosa City & County CoC,19125,Tuscaloosa County,276296
AL-507 - Alabama Balance of State CoC,10144,Auburn,258400
AL-507 - Alabama Balance of State CoC,19005,Barbour County,109791
AL-507 - Alabama Balance of State CoC,19007,Bibb County,73273
AL-507 - Alabama Balance of State CoC,19009,Blount County,155429
AL-507 - Alabama Balance of State CoC,19013,Butler County,81551
AL-507 - Alabama Balance of State CoC,19017,Chambers County,169810
AL-507 - Alabama Balance of State CoC,19021,Chilton County,151723
AL-507 - Alabama Balance of State CoC,19023,Choctaw County,34974
AL-507 - Alabama Balance of State CoC,19025,Clarke County,85408
AL-507 - Alabama Balance of State CoC,19027,Clay County,70343
AL-507 - Alabama Balance of State CoC,19029,Cleburne County,45469
AL-507 - Alabama Balance of State CoC,19031,Coffee County,151320
AL-507 - Alabama Balance of State CoC,19035,Conecuh County,31532
AL-507 - Alabama Balance of State CoC,19037,Coosa County,41274
AL-507 - Alabama Balance of State CoC,19039,Covington County,143060
AL-507 - Alabama Balance of State CoC,19041,Crenshaw County,46729
AL-507 - Alabama Balance of State CoC,19043,Cullman County,248450
AL-507 - Alabama Balance of State CoC,19045,Dale County,140262
AL-507 - Alabama Balance of State CoC,19047,Dallas County,241691
AL-507 - Alabama Balance of State CoC,10624,Dothan,187434
AL-507 - Alabama Balance of State CoC,19053,Escambia County,109320
AL-507 - Alabama Balance of State CoC,19057,Fayette County,67081
AL-507 - Alabama Balance of State CoC,19061,Geneva County,96737
AL-507 - Alabama Balance of State CoC,19063,Greene County,41912
AL-507 - Alabama Balance of State CoC,19065,Hale County,62564
AL-507 - Alabama Balance of State CoC,19067,Henry County,65332
AL-507 - Alabama Balance of State CoC,19069,Houston County,113486
AL-507 - Alabama Balance of State CoC,19071,Jackson County,179716
AL-507 - Alabama Balance of State CoC,19075,Lamar County,49682
AL-507 - Alabama Balance of State CoC,19081,Lee County,195787
AL-507 - Alabama Balance of State CoC,19087,Macon County,67300
AL-507 - Alabama Balance of State CoC,19091,Marengo County,81498
AL-507 - Alabama Balance of State CoC,19095,Marshall County,294114
AL-507 - Alabama Balance of State CoC,19099,Monroe County,62161
AL-507 - Alabama Balance of State CoC,11740,Opelika,107876
AL-507 - Alabama Balance of State CoC,19105,Perry County,36824
AL-507 - Alabama Balance of State CoC,19107,Pickens County,63090
AL-507 - Alabama Balance of State CoC,19109,Pike County,119717
AL-507 - Alabama Balance of State CoC,19111,Randolph County,96494
AL-507 - Alabama Balance of State CoC,19119,Sumter County,48665
AL-507 - Alabama Balance of State CoC,19121,Talladega County,287202
AL-507 - Alabama Balance of State CoC,19123,Tallapoosa County,148919
AL-507 - Alabama Balance of State CoC,19127,Walker County,213388
AL-507 - Alabama Balance of State CoC,19129,Washington County,42967
AL-507 - Alabama Balance of State CoC,19131,Wilcox County,42092
AR-500 - Little Rock/Central Arkansas CoC,51374,Jacksonville,84947
AR-500 - Little Rock/Central Arkansas CoC,51560,Little Rock,1507690
AR-500 - Little Rock/Central Arkansas CoC,59085,Lonoke County,168124
AR-500 - Little Rock/Central Arkansas CoC,51938,North Little Rock,249848
AR-500 - Little Rock/Central Arkansas CoC,59117,Prairie County,29868
AR-500 - Little Rock/Central Arkansas CoC,59119,Pulaski County,223473
AR-500 - Little Rock/Central Arkansas CoC,59125,Saline County,237112
AR-501 - Fayetteville/Northwest Arkansas CoC,59007,Benton County,355945
AR-501 - Fayetteville/Northwest Arkansas CoC,59015,Carroll County,119016
AR-501 - Fayetteville/Northwest Arkansas CoC,50894,Fayetteville,284888
AR-501 - Fayetteville/Northwest Arkansas CoC,59087,Madison County,96156
AR-501 - Fayetteville/Northwest Arkansas CoC,52304,Rogers,187644
AR-501 - Fayetteville/Northwest Arkansas CoC,52466,Springdale,324134
AR-501 - Fayetteville/Northwest Arkansas CoC,59143,Washington County,194681
AR-503 - Arkansas Balance of State CoC,59005,Baxter County,110031
AR-503 - Arkansas Balance of State CoC,59009,Boone County,137499
AR-503 - Arkansas Balance of State CoC,59019,Clark County,78801
AR-503 - Arkansas Balance of State CoC,59021,Clay County,66989
AR-503 - Arkansas Balance of State CoC,59023,Cleburne County,69024
AR-503 - Arkansas Balance of State CoC,50600,Conway,177613
AR-503 - Arkansas Balance of State CoC,59029,Conway County,89030
AR-503 - Arkansas Balance of State CoC,59031,Craighead County,87580
AR-503 - Arkansas Balance of State CoC,59035,Crittenden County,72640
AR-503 - Arkansas Balance of State CoC,59037,Cross County,67589
AR-503 - Arkansas Balance of State CoC,59045,Faulkner County,153606
AR-503 - Arkansas Balance of State CoC,59049,Fulton County,52483
AR-503 - Arkansas Balance of State CoC,59051,Garland County,168126
AR-503 - Arkansas Balance of State CoC,59055,Greene County,138693
AR-503 - Arkansas Balance of State CoC,59057,Hempstead County,92840
AR-503 - Arkansas Balance of State CoC,59059,Hot Spring County,94224
AR-503 - Arkansas Balance of State CoC,51302,Hot Springs,154956
AR-503 - Arkansas Balance of State CoC,59061,Howard County,52468
AR-503 - Arkansas Balance of State CoC,59063,Independence County,118695
AR-503 - Arkansas Balance of State CoC,59065,Izard County,46440
AR-503 - Arkansas Balance of State CoC,59067,Jackson County,49663
AR-503 - Arkansas Balance of State CoC,59071,Johnson County,88617
AR-503 - Arkansas Balance of State CoC,51410,Jonesboro,243143
AR-503 - Arkansas Balance of State CoC,59073,Lafayette County,28821
AR-503 - Arkansas Balance of State CoC,59075,Lawrence County,56222
AR-503 - Arkansas Balance of State CoC,59077,Lee County,39864
AR-503 - Arkansas Balance of State CoC,59081,Little River County,36700
AR-503 - Arkansas Balance of State CoC,59089,Marion County,57742
AR-503 - Arkansas Balance of State CoC,59091,Miller County,30674
AR-503 - Arkansas Balance of State CoC,59093,Mississippi County,166337
AR-503 - Arkansas Balance of State CoC,59095,Monroe County,34859
AR-503 - Arkansas Balance of State CoC,59097,Montgomery County,38244
AR-503 - Arkansas Balance of State CoC,59099,Nevada County,34884
AR-503 - Arkansas Balance of State CoC,59101,Newton County,47245
AR-503 - Arkansas Balance of State CoC,59105,Perry County,37044
AR-503 - Arkansas Balance of State CoC,59107,Phillips County,109015
AR-503 - Arkansas Balance of State CoC,59109,Pike County,46869
AR-503 - Arkansas Balance of State CoC,59111,Poinsett County,83027
AR-503 - Arkansas Balance of State CoC,59115,Pope County,168131
AR-503 - Arkansas Balance of State CoC,59121,Randolph County,69489
AR-503 - Arkansas Balance of State CoC,59129,Searcy County,48140
AR-503 - Arkansas Balance of State CoC,59133,Sevier County,77212
AR-503 - Arkansas Balance of State CoC,59135,Sharp County,54424
AR-503 - Arkansas Balance of State CoC,59123,St. Francis County,96037
AR-503 - Arkansas Balance of State CoC,59137,Stone County,42836
AR-503 - Arkansas Balance of State CoC,52556,Texarkana,109359
AR-503 - Arkansas Balance of State CoC,59141,Van Buren County,50065
AR-503 - Arkansas Balance of State CoC,52754,West Memphis,96533
AR-503 - Arkansas Balance of State CoC,59145,White County,197371
AR-503 - Arkansas Balance of State CoC,59147,Woodruff County,25616
AR-503 - Arkansas Balance of State CoC,59149,Yell County,77077
AR-505 - Southeast Arkansas CoC,59001,Arkansas County,74378
AR-505 - Southeast Arkansas CoC,59003,Ashley County,80549
AR-505 - Southeast Arkansas CoC,59011,Bradley County,56164
AR-505 - Southeast Arkansas CoC,59013,Calhoun County,16229
AR-505 - Southeast Arkansas CoC,59017,Chicot County,40887
AR-505 - Southeast Arkansas CoC,59025,Cleveland County,18045
AR-505 - Southeast Arkansas CoC,59027,Columbia County,103460
AR-505 - Southeast Arkansas CoC,59039,Dallas County,33077
AR-505 - Southeast Arkansas CoC,59041,Desha County,52843
AR-505 - Southeast Arkansas CoC,59043,Drew County,65323
AR-505 - Southeast Arkansas CoC,59053,Grant County,45513
AR-505 - Southeast Arkansas CoC,59069,Jefferson County,70882
AR-505 - Southeast Arkansas CoC,59079,Lincoln County,29955
AR-505 - Southeast Arkansas CoC,59103,Ouachita County,126180
AR-505 - Southeast Arkansas CoC,52130,Pine Bluff,245337
AR-505 - Southeast Arkansas CoC,59139,Union County,160220
AR-508 - Fort Smith CoC,59033,Crawford County,200433
AR-508 - Fort Smith CoC,50930,Fort Smith,302895
AR-508 - Fort Smith CoC,59047,Franklin County,81743
AR-508 - Fort Smith CoC,59083,Logan County,93678
AR-508 - Fort Smith CoC,59113,Polk County,79825
AR-508 - Fort Smith CoC,59127,Scott County,37288
AR-508 - Fort Smith CoC,59131,Sebastian County,122450
AS-500 - American Samoa CoC,600001,American Samoa,688627
AZ-500 - Arizona Balance of State CoC,49001,Apache County,47245
AZ-500 - Arizona Balance of State CoC,40054,Casa Grande,172391
AZ-500 - Arizona Balance of State CoC,49003,Cochise County,408740
AZ-500 - Arizona Balance of State CoC,49005,Coconino County,97082
AZ-500 - Arizona Balance of State CoC,40114,Douglas City,61714
AZ-500 - Arizona Balance of State CoC,40144,Flagstaff,201662
AZ-500 - Arizona Balance of State CoC,49007,Gila County,228535
AZ-500 - Arizona Balance of State CoC,49009,Graham County,121278
AZ-500 - Arizona Balance of State CoC,49011,Greenlee County,34704
AZ-500 - Arizona Balance of State CoC,49012,La Paz County,55339
AZ-500 - Arizona Balance of State CoC,40266,Maricopa,116358
AZ-500 - Arizona Balance of State CoC,49015,Mohave County,525315
AZ-500 - Arizona Balance of State CoC,49017,Navajo County,192974
AZ-500 - Arizona Balance of State CoC,49021,Pinal County,585985
AZ-500 - Arizona Balance of State CoC,40348,Prescott,95301
AZ-500 - Arizona Balance of State CoC,49023,Santa Cruz County,149487
AZ-500 - Arizona Balance of State CoC,40408,Sierra Vista City,93184
AZ-500 - Arizona Balance of State CoC,49025,Yavapai County,392476
AZ-500 - Arizona Balance of State CoC,40558,Yuma,331962
AZ-500 - Arizona Balance of State CoC,49027,Yuma County,414336
AZ-501 - Tucson/Pima County CoC,49019,Pima County,2707478
AZ-501 - Tucson/Pima County CoC,40492,Tucson,5350987
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40018,Avondale City,242652
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40072,Chandler,500615
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40180,Gilbert,381400
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40186,Glendale,2391677
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40198,Goodyear,148200
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",49013,Maricopa County,3068139
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40270,Mesa,4114028
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40324,Peoria City,336372
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40330,Phoenix,15668152
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40384,Scottsdale,402112
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40456,Surprise City,285734
"AZ-502 - Phoenix, Mesa/Maricopa County CoC",40468,Tempe,1773161
CA-500 - San Jose/Santa Clara City & County CoC,60906,Cupertino City,133739
CA-500 - San Jose/Santa Clara City & County CoC,61452,Gilroy City,137288
CA-500 - San Jose/Santa Clara City & County CoC,62274,Milpitas City,241455
CA-500 - San Jose/Santa Clara City & County CoC,62382,Mountain View,227503
CA-500 - San Jose/Santa Clara City & County CoC,62682,Palo Alto,191620
CA-500 - San Jose/Santa Clara City & County CoC,63258,San Jose,8481394
CA-500 - San Jose/Santa Clara City & County CoC,63354,Santa Clara,385501
CA-500 - San Jose/Santa Clara City & County CoC,69085,Santa Clara County,1505388
CA-500 - San Jose/Santa Clara City & County CoC,63660,Sunnyvale,393005
CA-501 - San Francisco CoC,63228,San Francisco,19104299
"CA-502 - Oakland, Berkeley/Alameda County CoC",60012,Alameda,418724
"CA-502 - Oakland, Berkeley/Alameda County CoC",69001,Alameda County,2262064
"CA-502 - Oakland, Berkeley/Alameda County CoC",60324,Berkeley,2750092
"CA-502 - Oakland, Berkeley/Alameda County CoC",61404,Fremont,1767514
"CA-502 - Oakland, Berkeley/Alameda County CoC",61602,Hayward,569298
"CA-502 - Oakland, Berkeley/Alameda County CoC",62034,Livermore,150863
"CA-502 - Oakland, Berkeley/Alameda County CoC",62508,Oakland,7467103
"CA-502 - Oakland, Berkeley/Alameda County CoC",62826,Pleasanton City,141728
"CA-502 - Oakland, Berkeley/Alameda County CoC",63276,San Leandro,301435
"CA-502 - Oakland, Berkeley/Alameda County CoC",63846,Union City,207622
CA-503 - Sacramento City & County CoC,60726,Citrus Heights,223746
CA-503 - Sacramento City & County CoC,61146,Elk Grove,339457
CA-503 - Sacramento City & County CoC,62928,Rancho Cordova City,229722
CA-503 - Sacramento City & County CoC,63144,Sacramento,4650108
CA-503 - Sacramento City & County CoC,69067,Sacramento County,6039174
"CA-504 - Santa Rosa, Petaluma/Sonoma County CoC",62760,Petaluma,123111
"CA-504 - Santa Rosa, Petaluma/Sonoma County CoC",63396,Santa Rosa,493454
"CA-504 - Santa Rosa, Petaluma/Sonoma County CoC",69097,Sonoma County,1733183
CA-505 - Contra Costa County CoC,60102,Antioch,303763
CA-505 - Contra Costa County CoC,60810,Concord,390571
CA-505 - Contra Costa County CoC,69013,Contra Costa County,4612734
CA-505 - Contra Costa County CoC,62790,Pittsburg,230874
CA-505 - Contra Costa County CoC,63942,Walnut Creek,133286
"CA-506 - Salinas/Monterey, San Benito Counties CoC",62334,Monterey,89057
"CA-506 - Salinas/Monterey, San Benito Counties CoC",69053,Monterey County,444038
"CA-506 - Salinas/Monterey, San Benito Counties CoC",63162,Salinas,2047295
"CA-506 - Salinas/Monterey, San Benito Counties CoC",69069,San Benito County,218211
"CA-506 - Salinas/Monterey, San Benito Counties CoC",63444,Seaside,129915
CA-507 - Marin County CoC,69041,Marin County,592326
CA-508 - Watsonville/Santa Cruz City & County CoC,63360,Santa Cruz,211922
CA-508 - Watsonville/Santa Cruz City & County CoC,69087,Santa Cruz County,606576
CA-508 - Watsonville/Santa Cruz City & County CoC,63966,Watsonville,247159
CA-509 - Mendocino County CoC,69045,Mendocino County,478809
"CA-510 - Turlock, Modesto/Stanislaus County CoC",62292,Modesto,1812446
"CA-510 - Turlock, Modesto/Stanislaus County CoC",69099,Stanislaus County,2371716
"CA-510 - Turlock, Modesto/Stanislaus County CoC",63798,Turlock,228463
CA-511 - Stockton/San Joaquin County CoC,62046,Lodi,238822
CA-511 - Stockton/San Joaquin County CoC,69077,San Joaquin County,2905590
CA-511 - Stockton/San Joaquin County CoC,63624,Stockton,3271072
CA-512 - Daly City/San Mateo County CoC,60930,Daly City,364388
CA-512 - Daly City/San Mateo County CoC,62976,Redwood City,253564
CA-512 - Daly City/San Mateo County CoC,63312,San Mateo,290254
CA-512 - Daly City/San Mateo County CoC,69081,San Mateo County,2488370
CA-512 - Daly City/San Mateo County CoC,63564,South San Francisco,170308
"CA-513 - Visalia/Kings, Tulare Counties CoC",61566,Hanford,194400
"CA-513 - Visalia/Kings, Tulare Counties CoC",69031,Kings County,400133
"CA-513 - Visalia/Kings, Tulare Counties CoC",62862,Porterville,275530
"CA-513 - Visalia/Kings, Tulare Counties CoC",63768,Tulare,269004
"CA-513 - Visalia/Kings, Tulare Counties CoC",69107,Tulare County,1347797
"CA-513 - Visalia/Kings, Tulare Counties CoC",63918,Visalia,449676
CA-514 - Fresno City & County/Madera County CoC,60756,Clovis City,243154
CA-514 - Fresno City & County/Madera County CoC,61410,Fresno,7005524
CA-514 - Fresno City & County/Madera County CoC,69019,Fresno County,3153231
CA-514 - Fresno City & County/Madera County CoC,62166,Madera,365818
CA-514 - Fresno City & County/Madera County CoC,69039,Madera County,348164
"CA-515 - Roseville, Rocklin/Placer County CoC",69061,Placer County,494306
"CA-515 - Roseville, Rocklin/Placer County CoC",63054,Rocklin City,111854
"CA-515 - Roseville, Rocklin/Placer County CoC",63108,Roseville,257572
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",69015,Del Norte County,102707
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",69035,Lassen County,124489
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",69049,Modoc County,78425
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",69063,Plumas County,80534
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",62958,Redding,270533
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",69089,Shasta County,306001
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",69091,Sierra County,31575
"CA-516 - Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc,
Sierra Counties CoC",69093,Siskiyou County,325502
CA-517 - Napa City & County CoC,62406,Napa City,217526
CA-517 - Napa City & County CoC,69055,Napa County,239247
CA-518 - Vallejo/Solano County CoC,61266,Fairfield,311747
CA-518 - Vallejo/Solano County CoC,69095,Solano County,321237
CA-518 - Vallejo/Solano County CoC,63858,Vacaville,187546
CA-518 - Vallejo/Solano County CoC,63876,Vallejo,385835
"CA-519 - Chico, Paradise/Butte County CoC",69007,Butte County,407517
"CA-519 - Chico, Paradise/Butte County CoC",60684,Chico,343584
"CA-519 - Chico, Paradise/Butte County CoC",62700,Paradise,37520
CA-520 - Merced City & County CoC,62250,Merced,385434
CA-520 - Merced City & County CoC,69047,Merced County,850676
"CA-521 - Davis, Woodland/Yolo County CoC",60942,Davis,285912
"CA-521 - Davis, Woodland/Yolo County CoC",64050,West Sacramento,193297
"CA-521 - Davis, Woodland/Yolo County CoC",64134,Woodland,168617
"CA-521 - Davis, Woodland/Yolo County CoC",69113,Yolo County,159875
CA-522 - Humboldt County CoC,69023,Humboldt County,921510
"CA-523 - Colusa, Glenn, Trinity Counties CoC",69011,Colusa County,99820
"CA-523 - Colusa, Glenn, Trinity Counties CoC",69021,Glenn County,125504
"CA-523 - Colusa, Glenn, Trinity Counties CoC",69105,Trinity County,69079
CA-524 - Yuba City & County/Sutter County CoC,69101,Sutter County,111702
CA-524 - Yuba City & County/Sutter County CoC,64176,Yuba City,211562
CA-524 - Yuba City & County/Sutter County CoC,69115,Yuba County,302014
CA-525 - El Dorado County CoC,69017,El Dorado County,503413
"CA-526 - Amador, Calaveras, Mariposa, Tuolumne Counties CoC",69005,Amador County,167675
"CA-526 - Amador, Calaveras, Mariposa, Tuolumne Counties CoC",69009,Calaveras County,139136
"CA-526 - Amador, Calaveras, Mariposa, Tuolumne Counties CoC",69043,Mariposa County,72124
"CA-526 - Amador, Calaveras, Mariposa, Tuolumne Counties CoC",69109,Tuolumne County,199318
CA-527 - Tehama County CoC,69103,Tehama County,282337
CA-529 - Lake County CoC,69033,Lake County,263168
"CA-530 - Alpine, Inyo, Mono Counties CoC",69003,Alpine County,6183
"CA-530 - Alpine, Inyo, Mono Counties CoC",69027,Inyo County,82294
"CA-530 - Alpine, Inyo, Mono Counties CoC",69051,Mono County,62471
CA-531 - Nevada County CoC,69057,Nevada County,369327
CA-600 - Los Angeles City & County CoC,60030,Alhambra,315675
CA-600 - Los Angeles City & County CoC,60234,Baldwin Park,334399
CA-600 - Los Angeles City & County CoC,60288,Bellflower,322695
CA-600 - Los Angeles City & County CoC,60456,Burbank,380321
CA-600 - Los Angeles City & County CoC,60594,Carson,264275
CA-600 - Los Angeles City & County CoC,60654,Cerritos,87912
CA-600 - Los Angeles City & County CoC,60804,Compton,1418390
CA-600 - Los Angeles City & County CoC,61032,Downey,362351
CA-600 - Los Angeles City & County CoC,61152,El Monte,1656933
CA-600 - Los Angeles City & County CoC,61428,Gardena,220706
CA-600 - Los Angeles City & County CoC,61470,Glendora City,108037
CA-600 - Los Angeles City & County CoC,61596,Hawthorne,452751
CA-600 - Los Angeles City & County CoC,61698,Huntington Park,1139185
CA-600 - Los Angeles City & County CoC,61740,Inglewood,1267904
CA-600 - Los Angeles City & County CoC,61890,Lakewood,166092
CA-600 - Los Angeles City & County CoC,61914,Lancaster,545160
CA-600 - Los Angeles City & County CoC,62118,Los Angeles,50978324
CA-600 - Los Angeles City & County CoC,69037,Los Angeles County,20436487
CA-600 - Los Angeles City & County CoC,62148,Lynwood,366325
CA-600 - Los Angeles City & County CoC,62328,Montebello,234404
CA-600 - Los Angeles City & County CoC,62340,Monterey Park,219132
CA-600 - Los Angeles City & County CoC,62490,Norwalk,396356
CA-600 - Los Angeles City & County CoC,62658,Palmdale,534289
CA-600 - Los Angeles City & County CoC,62706,Paramount City,283574
CA-600 - Los Angeles City & County CoC,62766,Pico Rivera,208434
CA-600 - Los Angeles City & County CoC,62850,Pomona,1799398
CA-600 - Los Angeles City & County CoC,62970,Redondo Beach,98311
CA-600 - Los Angeles City & County CoC,63102,Rosemead,248970
CA-600 - Los Angeles City & County CoC,63356,Santa Clarita,560560
CA-600 - Los Angeles City & County CoC,63384,Santa Monica,426492
CA-600 - Los Angeles City & County CoC,63528,South Gate,1339243
CA-600 - Los Angeles City & County CoC,63744,Torrance,368598
CA-600 - Los Angeles City & County CoC,64002,West Covina,297796
CA-600 - Los Angeles City & County CoC,64074,Whittier,227227
CA-601 - San Diego City and County CoC,60564,Carlsbad,203264
CA-601 - San Diego City and County CoC,60720,Chula Vista,2357694
CA-601 - San Diego City and County CoC,61116,El Cajon,457945
CA-601 - San Diego City and County CoC,61212,Encinitas,116759
CA-601 - San Diego City and County CoC,61230,Escondido,1469590
CA-601 - San Diego City and County CoC,61896,La Mesa,178201
CA-601 - San Diego City and County CoC,62412,National City,267747
CA-601 - San Diego City and County CoC,62532,Oceanside,1320064
CA-601 - San Diego City and County CoC,63210,San Diego,11829742
CA-601 - San Diego City and County CoC,69073,San Diego County,4294194
CA-601 - San Diego City and County CoC,63294,San Marcos City,264642
CA-601 - San Diego City and County CoC,63408,Santee,119984
CA-601 - San Diego City and County CoC,63924,Vista,369000
"CA-602 - Santa Ana, Anaheim/Orange County CoC",60032,Aliso Viejo,97290
"CA-602 - Santa Ana, Anaheim/Orange County CoC",60078,Anaheim,4356585
"CA-602 - Santa Ana, Anaheim/Orange County CoC",60450,Buena Park,279402
"CA-602 - Santa Ana, Anaheim/Orange County CoC",60846,Costa Mesa,376541
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61380,Fountain Valley,129487
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61416,Fullerton,517534
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61440,Garden Grove,1879767
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61692,Huntington Beach,436594
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61750,Irvine,2290192
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61860,La Habra,221866
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61854,Laguna Niguel,125251
"CA-602 - Santa Ana, Anaheim/Orange County CoC",61869,Lake Forest,194058
"CA-602 - Santa Ana, Anaheim/Orange County CoC",62286,Mission Viejo,140306
"CA-602 - Santa Ana, Anaheim/Orange County CoC",62454,Newport Beach,148715
"CA-602 - Santa Ana, Anaheim/Orange County CoC",62568,Orange,385461
"CA-602 - Santa Ana, Anaheim/Orange County CoC",69059,Orange County,3456117
"CA-602 - Santa Ana, Anaheim/Orange County CoC",62949,Rancho Santa Margarita,80693
"CA-602 - Santa Ana, Anaheim/Orange County CoC",63198,San Clemente,117101
"CA-602 - Santa Ana, Anaheim/Orange County CoC",63342,Santa Ana,4883598
"CA-602 - Santa Ana, Anaheim/Orange County CoC",63804,Tustin,279266
"CA-602 - Santa Ana, Anaheim/Orange County CoC",64014,Westminster,364784
