"","raceId","driverId","lap","position","badform_time","milliseconds","hoursLap","minLap","minutesIn","secondsIn","secondsLap","AirTemp","Humidity","Pressure","Rainfall","TrackTemp","WindDirection","WindSpeed","Year","weatherStampSeconds","constructorId","positionFinish","grid","points","rank"
"30",989,1,30,2,02:16:00,136728,0.0015825,2.279,45.44686944,2726.812166,136.728,23.9,33.8,996.9,0,37,317,2.5,2018,2757.669,131,2,1,18,"3"
"31",989,1,31,2,02:17:00,137887,0.001595914,2.298,43.16806944,2590.084166,137.8869696,23.7,34.6,996.8,0,36.7,278,2.5,2018,2638.309,131,2,1,18,"3"
"32",989,1,32,2,01:27:00,87901,0.001017373,1.465,40.86995328,2452.197197,87.9010272,24.2,34.4,996.9,0,38,282,3.8,2018,2458.303,131,2,1,18,"3"
"33",989,1,33,2,01:28:00,87976,0.001018241,1.466,39.40493616,2364.29617,87.9760224,24.1,34.9,996.9,0,38.4,279,2.4,2018,2398.038,131,2,1,18,"3"
"34",989,1,34,2,01:27:00,87582,0.001013681,1.46,37.93866912,2276.320147,87.5820384,24.1,34.5,996.8,0,38.3,292,3.2,2018,2277.57,131,2,1,18,"3"
"35",989,1,35,2,01:27:00,87043,0.001007442,1.451,36.47896848,2188.738109,87.0429888,24.1,34.5,996.8,0,38.5,349,3.8,2018,2217.554,131,2,1,18,"3"
"36",989,1,36,2,01:27:00,87310,0.001010532,1.455,35.028252,2101.69512,87.3099648,24,35,996.8,0,38.6,291,2.9,2018,2157.925,131,2,1,18,"3"
"37",989,1,37,2,01:27:00,87481,0.001012512,1.458,33.57308592,2014.385155,87.4810368,24.2,34,996.9,0,38.6,289,3.5,2018,2037.516,131,2,1,18,"3"
"38",989,1,38,2,01:27:00,87166,0.001008866,1.453,32.11506864,1926.904118,87.1660224,24.4,33.8,997,0,38.4,275,3.4,2018,1977.572,131,2,1,18,"3"
"39",989,1,39,2,01:26:00,86889,0.00100566,1.448,30.6623016,1839.738096,86.889024,24.1,35.3,997,0,38.1,315,1.1,2018,1857.476,131,2,1,18,"3"
"40",989,1,40,2,01:26:00,86880,0.001005556,1.448,29.2141512,1752.849072,86.8800384,23.9,35.2,997,0,37.7,211,2.3,2018,1797.489,131,2,1,18,"3"
"41",989,1,41,2,01:26:00,86843,0.001005127,1.447,27.76615056,1665.969034,86.8429728,23.9,34.8,996.9,0,36.2,278,2.2,2018,1677.438,131,2,1,18,"3"
"42",989,1,42,2,01:27:00,87161,0.001008808,1.453,26.31876768,1579.126061,87.1610112,23.9,35.6,997,0,36.2,354,1.2,2018,1617.439,131,2,1,18,"3"
"43",989,1,43,2,01:26:00,86882,0.001005579,1.448,24.86608416,1491.96505,86.8820256,23.9,35.6,997,0,36.6,0,1.6,2018,1497.67,131,2,1,18,"3"
"44",989,1,44,2,01:27:00,87028,0.001007269,1.45,23.4180504,1405.083024,87.0280416,24,35,997,0,37.1,267,0.9,2018,1437.524,131,2,1,18,"3"
"45",989,1,45,2,01:26:00,86898,0.001005764,1.448,21.96758304,1318.054982,86.8980096,23.9,35.3,997,0,37.9,297,2.4,2018,1377.588,131,2,1,18,"3"
"46",989,1,46,2,01:26:00,86523,0.001001424,1.442,20.51928288,1231.156973,86.5230336,24.1,35.1,997.1,0,38,283,4,2018,1257.606,131,2,1,18,"3"
"47",989,1,47,2,01:29:00,89084,0.001031065,1.485,19.07723232,1144.633939,89.084016,23.9,35.9,997,0,38,294,2,2018,1197.349,131,2,1,18,"3"
"48",989,1,48,2,01:26:00,86548,0.001001713,1.442,17.59249872,1055.549923,86.5480032,23.8,35.6,997,0,37.5,297,2.9,2018,1077.37,131,2,1,18,"3"
"49",989,1,49,2,01:26:00,86656,0.001002963,1.444,16.150032,969.00192,86.6560032,23.5,36.7,997.1,0,36.4,301,3.4,2018,1017.351,131,2,1,18,"3"
"50",989,1,50,2,01:26:00,86444,0.001000509,1.441,14.70576528,882.3459168,86.4439776,23.4,36.5,997.2,0,36.3,283,2.1,2018,897.832,131,2,1,18,"3"
"51",989,1,51,2,01:26:00,86647,0.001002859,1.444,13.26503232,795.9019392,86.6470176,23.5,36.3,997.2,0,36.4,267,2.5,2018,837.637,131,2,1,18,"3"
"52",989,1,52,2,01:26:00,86511,0.001001285,1.442,11.82091536,709.2549216,86.511024,23.9,36.3,997.1,0,36.8,255,2.9,2018,717.661,131,2,1,18,"3"
"53",989,1,53,2,01:27:00,87778,0.001015949,1.463,10.37906496,622.7438976,87.7779936,23.9,36.5,997.1,0,36.7,289,4.3,2018,657.202,131,2,1,18,"3"
"54",989,1,54,2,01:28:00,87972,0.001018194,1.466,8.9160984,534.965904,87.9719616,24.2,36.3,996.9,0,38.2,296,3.8,2018,538.221,131,2,1,18,"3"
"55",989,1,55,2,01:27:00,87801,0.001016215,1.463,7.44989904,446.9939424,87.800976,24.2,36.3,997,0,38.9,307,4.1,2018,477.159,131,2,1,18,"3"
"56",989,1,56,2,01:27:00,87729,0.001015382,1.462,5.98654944,359.1929664,87.7290048,24.2,36.5,997.1,0,38.8,306,2,2018,417.146,131,2,1,18,"3"
"57",989,1,57,2,01:28:00,88048,0.001019074,1.467,4.52439936,271.4639616,88.0479936,24.2,35.8,997.1,0,38.7,309,3.5,2018,297.121,131,2,1,18,"3"
"58",989,1,58,2,01:27:00,87942,0.001017847,1.466,3.0569328,183.415968,87.9419808,23.9,37.2,997,0,38.7,287,2.3,2018,237.106,131,2,1,18,"3"
"59",989,4,1,10,01:41:00,101528,0.001175093,1.692,1.69213392,101.5280352,101.5280352,24,36.3,997.1,0,38.6,273,1.4,2018,117.078,1,5,10,10,"7"
"60",989,4,2,10,01:31:00,91565,0.00105978,1.526,90.02652768,5401.591661,91.564992,24.2,28.5,997,0,33.6,290,4.9,2018,5458.298,1,5,10,10,"7"
