,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
NY-508,1599,1494,1383,86.49%,1224,375,0,255,567,999,33,46,49,1224,1164,1077,87.99%,107,0,205,425,774,25,16,25,375,330,306,81.60%,50,142,225,8,30,24,0,0,0,.,0,0,0,0,0,0,389,366,366,94.09%,73,239,150,0,30,64,1210,1210,1210,100.00%,33,85,1125,0,308,0,285,75,75,75,100.00%,10,25,50,0,15,0
NY-510,221,215,215,97.29%,176,45,0,10,24,197,0,0,24,176,170,170,96.59%,0,0,10,24,152,0,0,0,45,45,45,100.00%,0,0,45,0,0,24,0,0,0,.,0,0,0,0,0,0,41,41,41,100.00%,5,13,28,0,0,0,153,153,153,100.00%,19,55,98,0,7,69,5,114,114,0,0.00%,11,36,78,0,0,0
NY-511,798,782,618,77.44%,699,99,0,46,95,681,22,11,22,699,683,519,74.25%,0,2,24,73,621,5,0,5,99,99,99,100.00%,22,22,60,17,11,17,0,0,0,.,0,0,0,0,0,0,134,134,134,100.00%,43,65,69,0,0,0,534,534,534,100.00%,107,248,286,0,11,18,128,0,0,0,.,0,0,0,0,0,0
NY-512,150,87,83,55.33%,97,53,0,33,90,60,0,0,8,97,60,60,61.86%,17,90,19,55,42,0,0,6,53,27,23,43.40%,14,35,18,0,0,2,0,0,0,.,0,0,0,0,0,0,136,87,87,63.97%,29,89,47,0,11,16,734,371,363,49.46%,135,455,279,0,15,37,226,38,38,0,0.00%,10,28,10,0,0,0
NY-513,469,446,439,93.60%,336,133,0,55,180,289,0,20,0,336,313,313,93.15%,0,0,45,160,176,0,0,0,133,133,126,94.74%,10,20,113,0,20,0,0,0,0,.,0,0,0,0,0,0,1,1,1,100.00%,0,0,1,0,1,0,170,170,154,90.59%,24,81,89,0,20,0,4,0,0,0,.,0,0,0,0,0,0
NY-514,237,225,225,94.94%,214,23,0,45,141,87,9,3,14,214,202,202,94.39%,0,0,42,134,76,4,3,4,23,23,23,100.00%,3,7,11,5,0,10,0,0,0,.,0,0,0,0,0,0,20,20,20,100.00%,3,10,10,0,0,0,13,13,13,100.00%,0,0,13,0,0,0,0,52,52,52,100.00%,37,46,6,0,0,0
NY-518,288,274,274,95.14%,251,37,0,43,128,160,0,10,11,251,237,237,94.42%,0,0,34,102,149,0,0,0,37,37,37,100.00%,9,26,11,0,10,11,0,0,0,.,0,0,0,0,0,0,126,82,82,65.08%,25,81,45,0,24,17,447,447,447,100.00%,112,225,222,0,62,3,39,22,22,0,0.00%,3,8,14,0,0,0
NY-519,33,0,0,0.00%,24,9,0,8,14,19,0,0,0,24,0,0,0.00%,0,125,7,11,13,0,0,0,9,0,0,0.00%,1,3,6,0,0,0,0,0,0,.,0,0,0,0,0,0,6,2,2,33.33%,1,2,4,0,0,0,46,38,38,82.61%,8,21,25,0,1,0,11,0,0,0,.,0,0,0,0,0,0
NY-520,12,7,0,0.00%,12,0,0,1,2,10,0,0,0,12,7,0,0.00%,0,48,1,2,10,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,40,21,20,50.00%,8,28,12,0,1,0,7,7,7,100.00%,0,0,7,0,0,0,7,2,2,0,0.00%,1,2,0,0,0,0
NY-522,52,10,10,19.23%,42,10,0,8,27,25,0,0,0,42,0,0,0.00%,54,120,6,20,22,0,0,0,10,10,10,100.00%,2,7,3,0,0,0,0,0,0,.,0,0,0,0,0,0,98,98,98,100.00%,16,51,47,0,15,0,465,465,465,100.00%,72,302,163,0,0,0,30,0,0,0,.,0,0,0,0,0,0
NY-523,161,143,140,86.96%,114,47,0,11,25,128,8,23,24,114,96,93,81.58%,111,278,8,19,87,8,8,15,47,47,47,100.00%,3,6,41,0,15,9,0,0,0,.,0,0,0,0,0,0,62,24,24,38.71%,13,39,23,0,2,25,227,216,216,95.15%,21,72,155,0,69,4,73,35,35,0,0.00%,5,15,20,0,0,0
NY-525,971,901,840,86.51%,966,5,0,104,329,637,5,1,10,966,896,835,86.44%,10,5,104,329,632,5,1,5,5,5,5,100.00%,0,0,5,0,0,5,0,0,0,.,0,0,0,0,0,0,206,71,69,33.50%,56,156,50,0,14,0,202,202,180,89.11%,20,64,110,28,38,28,11,145,145,8,5.52%,36,88,57,0,0,2
NY-600,112324,108846,101658,90.50%,108962,3322,40,24772,76345,35970,9,350,770,108962,105836,100970,92.67%,0,33283,24657,76001,32961,0,156,597,3322,2970,688,20.71%,115,344,2969,9,154,173,40,40,0,0.00%,0,0,40,0,40,0,1194,761,766,64.15%,189,546,648,0,128,295,39794,39021,13654,34.31%,2954,9979,29815,0,5051,716,22869,15886,15886,35,0.22%,3905,11807,4079,0,16,0
NY-601,588,522,513,87.24%,446,142,0,78,219,357,12,9,18,446,422,413,92.60%,0,157,60,162,272,12,9,12,142,100,100,70.42%,18,57,85,0,0,6,0,0,0,.,0,0,0,0,0,0,1,1,1,100.00%,0,0,1,0,1,0,262,262,245,93.51%,19,55,207,0,21,5,19,72,72,51,70.83%,0,0,72,0,0,0
NY-602,321,293,293,91.28%,264,57,0,72,197,111,13,0,43,264,236,236,89.39%,50,339,54,140,111,13,0,13,57,57,57,100.00%,18,57,0,0,0,30,0,0,0,.,0,0,0,0,0,0,77,77,77,100.00%,11,40,37,0,3,0,305,292,259,84.92%,44,132,173,0,65,0,103,66,66,0,0.00%,15,60,6,0,0,0
NY-603,4001,3917,3917,97.90%,3901,82,18,725,2405,1583,13,98,38,3901,3831,3831,98.21%,0,0,710,2372,1516,13,37,24,82,68,68,82.93%,15,33,49,0,43,14,18,18,18,100.00%,0,0,18,0,18,0,409,361,361,88.26%,156,329,80,0,58,0,2130,2089,1593,74.79%,257,883,1247,0,744,0,555,0,0,0,.,0,0,0,0,0,0
NY-604,1626,1557,1557,95.76%,1104,522,0,396,1115,497,14,11,26,1104,1035,1035,93.75%,40,10,216,626,464,14,11,14,522,522,522,100.00%,180,489,33,0,0,12,0,0,0,.,0,0,0,0,0,0,157,157,157,100.00%,39,108,49,0,12,7,1531,1531,1487,97.13%,216,550,981,0,319,143,3,3756,3756,3161,84.16%,872,3002,754,0,0,0
NY-606,45,21,19,42.22%,45,0,0,18,40,5,0,0,0,45,21,19,42.22%,55,3,18,40,5,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,44,29,29,65.91%,11,34,10,0,1,0,77,77,77,100.00%,14,39,38,0,8,0,21,170,170,0,0.00%,43,85,85,0,0,0
NY-608,88,71,70,79.55%,75,13,0,14,38,36,14,1,26,75,59,58,77.33%,45,433,12,33,28,14,1,14,13,12,12,92.31%,2,5,8,0,0,12,0,0,0,.,0,0,0,0,0,0,65,58,58,89.23%,15,59,6,0,0,2,165,165,165,100.00%,24,67,98,0,36,0,41,97,97,97,100.00%,15,61,36,0,0,0
OH-500,894,781,781,87.36%,611,263,20,91,312,568,14,139,76,611,581,581,95.09%,200,98,56,224,373,14,16,50,263,180,180,68.44%,35,88,175,0,103,26,20,20,20,100.00%,0,0,20,0,20,0,1114,986,986,88.51%,225,773,341,0,112,140,1863,1863,1863,100.00%,170,606,1257,0,390,70,1771,0,0,0,.,0,0,0,0,0,0
OH-501,588,498,498,84.69%,533,55,0,79,261,313,14,0,14,533,487,487,91.37%,35,38,63,217,302,14,0,14,55,11,11,20.00%,16,44,11,0,0,0,0,0,0,.,0,0,0,0,0,0,117,117,102,87.18%,24,79,38,0,15,0,898,898,798,88.86%,111,365,533,0,132,27,529,172,172,0,0.00%,0,0,172,0,0,0
OH-502,1585,1541,1541,97.22%,1443,91,51,106,375,1185,25,99,73,1443,1399,1399,96.95%,109,155,101,365,1060,18,0,50,91,91,91,100.00%,5,10,74,7,68,23,51,51,51,100.00%,0,0,51,0,31,0,1281,1281,1281,100.00%,292,968,313,0,175,1,4495,4495,3994,88.85%,556,1980,2515,0,526,4,757,0,0,0,.,0,0,0,0,0,0
OH-503,1301,1112,1112,85.47%,1173,128,0,161,524,764,13,39,106,1173,1029,1029,87.72%,485,214,138,451,710,12,39,12,128,83,83,64.84%,23,73,54,1,0,94,0,0,0,.,0,0,0,0,0,0,443,415,443,100.00%,73,262,181,0,115,53,3593,3593,3546,98.69%,343,1110,2483,0,515,92,3107,0,0,0,.,0,0,0,0,0,0
OH-504,273,249,49,17.95%,253,20,0,54,156,117,0,7,0,253,229,29,11.46%,0,0,51,146,107,0,0,0,20,20,20,100.00%,3,10,10,0,7,0,0,0,0,.,0,0,0,0,0,0,40,40,40,100.00%,9,27,13,0,10,0,492,492,451,91.67%,101,327,165,0,41,0,197,45,45,4,8.89%,0,0,45,0,4,0
OH-505,593,540,540,91.06%,476,117,0,69,178,407,8,46,90,476,431,431,90.55%,0,120,55,150,318,8,16,24,117,109,109,93.16%,14,28,89,0,30,66,0,0,0,.,0,0,0,0,0,0,290,266,266,91.72%,49,174,116,0,62,20,1436,1371,1371,95.47%,151,456,980,0,219,0,524,0,0,0,.,0,0,0,0,0,0
OH-506,483,371,371,76.81%,328,133,22,100,184,277,22,42,30,328,223,223,67.99%,0,75,92,171,145,12,0,16,133,126,126,94.74%,8,13,110,10,30,14,22,22,22,100.00%,0,0,22,0,12,0,281,91,91,32.38%,48,138,143,0,35,0,784,784,651,83.04%,108,316,468,0,155,12,575,0,0,0,.,0,0,0,0,0,0
OH-507,3745,2764,2021,53.97%,3034,711,0,590,1796,1940,9,116,67,3034,2212,1545,50.92%,40,9,464,1438,1591,5,35,5,711,552,476,66.95%,126,358,349,4,81,62,0,0,0,.,0,0,0,0,0,0,2014,1552,1552,77.06%,444,1193,821,0,385,76,3514,3512,3461,98.49%,560,1509,2005,0,910,9,1477,204,204,27,13.24%,0,0,204,0,20,0
OH-508,279,215,215,77.06%,249,26,4,57,149,130,0,17,0,249,200,200,80.32%,0,13,54,138,111,0,2,0,26,11,11,42.31%,3,11,15,0,11,0,4,4,4,100.00%,0,0,4,0,4,0,172,172,172,100.00%,42,139,33,0,11,0,590,590,529,89.66%,75,217,373,0,68,7,505,97,97,97,100.00%,17,65,32,0,0,0
OK-500,333,315,56,16.82%,87,246,0,32,74,259,0,0,9,87,69,27,31.03%,0,20,18,48,39,0,0,2,246,246,29,11.79%,14,26,220,0,0,7,0,0,0,.,0,0,0,0,0,0,20,20,20,100.00%,13,13,2,5,0,11,14,14,0,0.00%,5,5,9,0,14,2,3,0,0,0,.,0,0,0,0,0,0
OK-501,965,815,755,78.24%,757,202,6,157,304,641,20,21,68,757,647,647,85.47%,0,14,115,198,539,20,21,20,202,162,102,50.50%,42,106,96,0,0,48,6,6,6,100.00%,0,0,6,0,0,0,567,334,334,58.91%,99,331,236,0,235,33,582,582,582,100.00%,6,39,543,0,268,0,314,189,189,7,3.70%,25,84,105,0,9,7
OK-502,1417,1358,1240,87.51%,1128,259,30,117,376,1039,2,55,99,1128,1069,1032,91.49%,0,0,76,264,864,0,20,28,259,259,178,68.73%,41,112,145,2,35,71,30,30,30,100.00%,0,0,30,0,0,0,222,222,222,100.00%,38,152,69,1,0,5,1114,1114,523,46.95%,108,407,707,0,591,4,211,0,0,0,.,0,0,0,0,0,0
OK-503,96,54,49,51.04%,64,32,0,12,44,52,0,0,0,64,22,17,26.56%,0,0,6,32,32,0,0,0,32,32,32,100.00%,6,12,20,0,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,100.00%,2,7,1,0,0,0,61,61,61,100.00%,13,38,23,0,0,0,61,0,0,0,.,0,0,0,0,0,0
OK-504,164,150,120,73.17%,135,29,0,17,56,107,1,5,23,135,121,120,88.89%,0,0,15,47,87,1,5,19,29,29,0,0.00%,2,9,20,0,0,4,0,0,0,.,0,0,0,0,0,0,5,5,5,100.00%,1,2,3,0,0,0,77,77,52,67.53%,7,17,48,12,1,33,11,0,0,0,.,0,0,0,0,0,0
OK-505,80,30,24,30.00%,80,0,0,9,33,41,6,0,6,80,30,24,30.00%,0,0,9,33,41,6,0,6,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,1,0,0,0.00%,0,0,1,0,0,0,61,55,55,90.16%,2,6,55,0,0,0,35,0,0,0,.,0,0,0,0,0,0
OK-506,146,108,58,39.73%,103,43,0,13,38,108,0,0,0,103,76,58,56.31%,0,0,10,32,71,0,0,0,43,32,0,0.00%,3,6,37,0,0,0,0,0,0,.,0,0,0,0,0,0,34,34,34,100.00%,7,23,11,0,0,0,9,9,9,100.00%,2,4,5,0,0,0,3,12,12,12,100.00%,0,0,12,0,0,0
OK-507,490,326,83,16.94%,490,0,0,46,148,313,29,23,29,490,326,83,16.94%,0,49,46,148,313,29,23,29,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,178,178,178,100.00%,20,79,99,0,132,0,76,76,0,0.00%,3,15,61,0,76,0,0,0,0,0,.,0,0,0,0,0,0
OR-500,1205,1180,1166,96.76%,1088,117,0,54,170,1011,24,26,85,1088,1063,1049,96.42%,0,0,50,160,905,23,2,36,117,117,117,100.00%,4,10,106,1,24,49,0,0,0,.,0,0,0,0,0,0,407,407,407,100.00%,72,236,167,4,126,51,976,976,976,100.00%,84,258,718,0,357,25,340,368,368,368,100.00%,170,368,0,0,0,0
OR-501,3820,3765,3348,87.64%,2995,825,0,161,463,3346,11,266,142,2995,2940,2587,86.38%,55,0,122,361,2624,10,133,70,825,825,761,92.24%,39,102,722,1,133,72,0,0,0,.,0,0,0,0,0,0,2430,2194,2172,89.38%,418,1196,1081,153,245,219,5995,5913,5406,90.18%,645,1954,4041,0,870,75,1514,887,847,835,94.14%,228,633,254,0,0,128
OR-502,831,793,706,84.96%,493,338,0,132,334,480,17,55,38,493,465,421,85.40%,0,0,60,145,337,11,10,15,338,328,285,84.32%,72,189,143,6,45,23,0,0,0,.,0,0,0,0,0,0,478,478,478,100.00%,89,257,221,0,103,4,133,133,133,100.00%,28,75,58,0,25,10,133,29,29,29,100.00%,6,16,13,0,0,0
OR-503,719,695,614,85.40%,628,91,0,61,123,590,6,15,47,628,604,584,92.99%,20,0,57,109,513,6,0,34,91,91,30,32.97%,4,14,77,0,15,13,0,0,0,.,0,0,0,0,0,0,70,70,70,100.00%,11,31,39,0,28,6,142,142,41,28.87%,9,28,114,0,100,0,122,150,150,0,0.00%,34,76,74,0,0,0
OR-504,1146,1103,717,62.57%,855,286,5,76,216,920,10,75,48,855,812,606,70.88%,0,345,65,181,664,10,32,48,286,286,106,37.06%,11,35,251,0,38,0,5,5,5,100.00%,0,0,5,0,5,0,494,328,328,66.40%,93,266,228,0,98,0,273,273,109,39.93%,15,60,213,0,196,0,38,146,146,66,45.21%,15,45,101,0,0,0
OR-505,1686,1686,1174,69.63%,1266,420,0,339,339,1303,44,3,107,1266,1266,946,74.72%,11,1,209,209,1023,34,0,41,420,420,228,54.29%,130,130,280,10,3,66,0,0,0,.,0,0,0,0,0,0,481,481,481,100.00%,257,258,223,0,188,9,86,86,86,100.00%,25,25,61,0,0,0,86,28,28,28,100.00%,14,14,14,0,0,0
OR-506,817,794,794,97.18%,705,112,0,121,360,450,7,77,30,705,694,694,98.44%,0,0,109,343,355,7,0,7,112,100,100,89.29%,12,17,95,0,77,23,0,0,0,.,0,0,0,0,0,0,911,911,911,100.00%,210,598,313,0,14,0,600,600,600,100.00%,42,75,525,0,256,2,108,2382,2382,2382,100.00%,393,791,1589,2,0,2
OR-507,235,175,175,74.47%,198,37,0,41,117,118,0,24,11,198,138,138,69.70%,0,0,32,100,98,0,24,0,37,37,37,100.00%,9,17,20,0,0,11,0,0,0,.,0,0,0,0,0,0,365,213,213,58.36%,106,279,86,0,14,49,969,904,904,93.29%,127,406,563,0,208,0,182,113,113,113,100.00%,14,41,71,1,0,1
PA-500,4751,4470,4365,91.88%,3785,724,242,591,1776,2967,8,130,342,3785,3575,3525,93.13%,191,77,426,1325,2452,8,25,65,724,653,598,82.60%,165,451,273,0,64,267,242,242,242,100.00%,0,0,242,0,41,10,1060,1031,1031,97.26%,209,692,368,0,230,195,5362,5335,4175,77.86%,598,1971,3391,0,1362,39,1656,6,6,6,100.00%,0,0,6,0,0,0
PA-501,324,305,226,69.75%,198,101,25,71,145,179,0,23,8,198,182,103,52.02%,83,7,28,67,131,0,23,0,101,98,98,97.03%,43,78,23,0,0,8,25,25,25,100.00%,0,0,25,0,0,0,110,110,95,86.36%,47,78,32,0,20,15,263,263,208,79.09%,42,53,210,0,91,0,28,57,57,35,61.40%,0,0,57,0,15,0
PA-502,448,413,353,78.79%,362,86,0,109,301,147,0,0,1,362,327,303,83.70%,0,0,72,247,115,0,0,1,86,86,50,58.14%,37,54,32,0,0,0,0,0,0,.,0,0,0,0,0,0,198,198,198,100.00%,41,143,55,0,44,0,417,417,339,81.29%,56,151,266,0,78,0,89,0,0,0,.,0,0,0,0,0,0
PA-503,220,160,160,72.73%,110,110,0,37,116,104,0,6,8,110,86,86,78.18%,0,0,16,37,73,0,0,0,110,74,74,67.27%,21,79,31,0,6,8,0,0,0,.,0,0,0,0,0,0,120,120,120,100.00%,25,77,43,0,23,33,380,380,306,80.53%,75,251,129,0,109,0,52,0,0,0,.,0,0,0,0,0,0
PA-504,264,236,236,89.39%,237,27,0,45,150,114,0,0,2,237,213,213,89.87%,32,100,39,128,109,0,0,0,27,23,23,85.19%,6,22,5,0,0,2,0,0,0,.,0,0,0,0,0,0,281,261,261,92.88%,69,206,75,0,7,22,258,258,258,100.00%,24,82,176,0,0,0,192,0,0,0,.,0,0,0,0,0,0
PA-505,226,152,135,59.73%,170,56,0,38,120,106,0,0,0,170,152,135,79.41%,12,0,23,70,100,0,0,0,56,0,0,0.00%,15,50,6,0,0,0,0,0,0,.,0,0,0,0,0,0,77,77,77,100.00%,16,54,23,0,18,0,224,224,224,100.00%,18,73,151,0,0,0,60,8,4,0,0.00%,0,0,8,0,0,0
PA-506,510,440,440,86.27%,330,180,0,64,199,301,10,15,23,330,260,260,78.79%,68,128,26,114,216,0,15,0,180,180,180,100.00%,38,85,85,10,0,23,0,0,0,.,0,0,0,0,0,0,103,60,60,58.25%,23,67,36,0,25,0,414,414,414,100.00%,57,197,217,0,62,0,352,71,71,71,100.00%,0,0,71,0,0,0
PA-508,139,125,117,84.17%,67,61,11,20,56,83,0,30,8,67,63,63,94.03%,0,12,13,37,30,0,0,0,61,51,43,70.49%,7,19,42,0,23,8,11,11,11,100.00%,0,0,11,0,7,0,192,174,173,90.10%,70,191,1,0,1,12,252,252,170,67.46%,67,179,73,0,90,0,170,0,0,0,.,0,0,0,0,0,0
PA-509,2000,1652,1217,60.85%,1414,586,0,350,1157,814,29,44,70,1414,1094,902,63.79%,303,113,244,843,542,29,7,29,586,558,315,53.75%,106,314,272,0,37,41,0,0,0,.,0,0,0,0,0,0,1252,926,926,73.96%,233,776,476,0,99,48,1019,994,603,59.18%,117,346,673,0,382,0,628,233,233,69,29.61%,26,87,146,0,0,0
PA-510,605,537,522,86.28%,286,319,0,78,268,337,0,24,0,286,250,250,87.41%,100,0,29,74,212,0,0,0,319,287,272,85.27%,49,194,125,0,24,0,0,0,0,.,0,0,0,0,0,0,37,37,37,100.00%,9,17,20,0,0,0,250,250,233,93.20%,29,83,167,0,87,6,0,72,72,0,0.00%,0,0,34,38,0,38
PA-511,240,220,211,87.92%,147,93,0,110,179,58,3,4,9,147,127,123,83.67%,0,92,86,107,37,3,4,3,93,93,88,94.62%,24,72,21,0,0,6,0,0,0,.,0,0,0,0,0,0,243,209,209,86.01%,57,184,59,0,4,15,100,100,100,100.00%,8,18,82,0,37,0,28,136,136,0,0.00%,31,100,36,0,0,0
PA-512,341,296,296,86.80%,239,102,0,60,182,159,0,0,12,239,219,219,91.63%,75,0,38,106,133,0,0,10,102,77,77,75.49%,22,76,26,0,0,2,0,0,0,.,0,0,0,0,0,0,170,112,170,100.00%,41,140,30,0,3,36,233,233,233,100.00%,15,53,180,0,58,0,155,130,130,130,100.00%,32,107,23,0,3,0
PA-600,1103,1021,1018,92.29%,921,170,12,204,430,673,0,115,18,921,839,836,90.77%,0,60,200,416,505,0,19,18,170,170,170,100.00%,4,14,156,0,84,0,12,12,12,100.00%,0,0,12,0,12,0,618,446,446,72.17%,175,369,249,0,13,120,2131,2131,1692,79.40%,336,958,1173,0,533,0,1490,0,0,0,.,0,0,0,0,0,0
PA-601,1071,827,341,31.84%,794,277,0,151,451,620,0,83,18,794,560,181,22.80%,23,45,114,332,462,0,22,0,277,267,160,57.76%,37,119,158,0,61,18,0,0,0,.,0,0,0,0,0,0,821,606,592,72.11%,140,412,409,0,91,69,1097,1045,911,83.04%,179,501,596,0,208,21,869,100,100,28,28.00%,9,20,80,0,32,0
PA-603,101,81,81,80.20%,89,12,0,19,54,47,0,3,2,89,69,69,77.53%,0,0,19,54,35,0,2,2,12,12,12,100.00%,0,0,12,0,1,0,0,0,0,.,0,0,0,0,0,0,101,101,101,100.00%,17,64,37,0,0,9,195,172,172,88.21%,54,135,60,0,8,33,90,0,0,0,.,0,0,0,0,0,0
PA-605,413,338,326,78.93%,302,101,10,50,175,237,1,13,12,302,251,251,83.11%,49,2,31,122,180,0,3,0,101,77,65,64.36%,19,53,47,1,0,12,10,10,10,100.00%,0,0,10,0,10,0,146,121,121,82.88%,28,85,61,0,16,0,343,343,237,69.10%,64,216,127,0,106,0,190,90,90,90,100.00%,0,0,90,0,0,0
PR-502,591,398,383,64.81%,265,314,12,63,178,413,0,4,23,265,173,158,59.62%,0,1,31,81,184,0,1,10,314,213,213,67.83%,32,97,217,0,3,13,12,12,12,100.00%,0,0,12,0,0,0,120,74,74,61.67%,23,64,56,0,0,8,1300,1274,1125,86.54%,96,260,1040,0,152,9,786,255,255,255,100.00%,0,0,255,0,0,0
PR-503,256,193,193,75.39%,212,44,0,21,50,206,0,7,0,212,163,163,76.89%,0,0,18,43,169,0,0,0,44,30,30,68.18%,3,7,37,0,7,0,0,0,0,.,0,0,0,0,0,0,222,121,121,54.50%,46,141,81,0,16,0,465,453,422,90.75%,19,50,415,0,31,0,365,0,0,0,.,0,0,0,0,0,0
RI-500,1886,1678,1617,85.74%,1673,213,0,296,920,966,0,89,27,1673,1556,1497,89.48%,146,43,263,815,858,0,11,6,213,122,120,56.34%,33,105,108,0,78,21,0,0,0,.,0,0,0,0,0,0,609,434,450,73.89%,132,385,224,0,67,93,1355,1298,1298,95.79%,156,555,800,0,322,5,686,921,912,912,99.02%,168,415,506,0,0,11
SC-500,247,180,140,56.68%,126,121,0,31,87,150,10,77,10,126,84,44,34.92%,0,0,19,55,71,0,7,0,121,96,96,79.34%,12,32,79,10,70,10,0,0,0,.,0,0,0,0,0,0,204,204,204,100.00%,27,90,114,0,106,0,431,431,91,21.11%,0,0,431,0,340,0,81,0,0,0,.,0,0,0,0,0,0
SC-501,1248,1051,373,29.89%,982,254,12,135,550,692,6,54,35,982,841,277,28.21%,243,13,74,409,567,6,5,11,254,198,84,33.07%,61,141,113,0,49,24,12,12,12,100.00%,0,0,12,0,0,0,131,82,82,62.60%,31,105,26,0,3,4,369,352,135,36.59%,8,25,344,0,217,0,369,0,0,0,.,0,0,0,0,0,0
SC-502,1074,985,867,80.73%,731,323,20,62,259,802,13,66,50,731,667,667,91.24%,180,71,28,139,580,12,28,32,323,298,180,55.73%,34,120,202,1,18,18,20,20,20,100.00%,0,0,20,0,20,0,119,119,119,100.00%,24,78,41,0,44,15,289,289,289,100.00%,40,72,217,0,0,6,274,27,27,27,100.00%,0,0,27,0,0,0
SC-503,578,514,474,82.01%,413,165,0,33,169,397,12,42,12,413,398,334,80.87%,0,4,26,117,284,12,2,12,165,116,140,84.85%,7,52,113,0,40,0,0,0,0,.,0,0,0,0,0,0,363,297,363,100.00%,48,193,170,0,246,24,409,409,360,88.02%,54,161,248,0,281,0,96,315,315,70,22.22%,30,70,245,0,0,0
SD-500,1570,1119,687,43.76%,1326,244,0,159,548,933,89,27,136,1326,957,644,48.57%,0,0,120,465,774,87,24,87,244,162,43,17.62%,39,83,159,2,3,49,0,0,0,.,0,0,0,0,0,0,376,361,361,96.01%,124,358,18,0,51,8,536,536,536,100.00%,66,177,359,0,361,0,123,194,194,50,25.77%,68,133,61,0,50,0
TN-500,283,242,231,81.63%,253,30,0,32,142,141,0,0,7,253,212,201,79.45%,0,44,28,129,124,0,0,0,30,30,30,100.00%,4,13,17,0,0,7,0,0,0,.,0,0,0,0,0,0,146,146,146,100.00%,17,56,90,0,46,62,308,308,215,69.81%,48,152,156,0,93,0,122,8,8,0,0.00%,0,0,8,0,8,0
TN-501,868,790,790,91.01%,635,233,0,212,425,443,0,103,14,635,557,557,87.72%,0,19,179,325,310,0,0,0,233,233,233,100.00%,33,100,133,0,103,14,0,0,0,.,0,0,0,0,0,0,238,238,238,100.00%,116,116,122,0,76,44,1412,1412,920,65.16%,215,633,779,0,566,0,554,36,36,36,100.00%,33,33,3,0,0,0
