,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
NJ-514,494,457,457,92.51%,395,99,0,60,195,287,12,0,20,395,370,370,93.67%,0,376,57,183,200,12,0,12,99,87,87,87.88%,3,12,87,0,0,8,0,0,0,.,0,0,0,0,0,0,464,464,437,94.18%,123,412,52,0,21,18,407,407,358,87.96%,29,81,326,0,49,20,156,577,577,350,60.66%,148,394,183,0,0,0
NJ-515,547,547,480,87.75%,311,236,0,171,327,215,5,18,54,311,311,265,85.21%,32,4,106,156,155,0,0,0,236,236,215,91.10%,65,171,60,5,18,54,0,0,0,.,0,0,0,0,0,0,654,654,654,100.00%,254,581,73,0,69,12,491,491,491,100.00%,115,260,231,0,0,0,41,8,8,0,0.00%,2,5,3,0,0,0
NJ-516,392,342,175,44.64%,274,118,0,177,267,125,0,75,0,274,224,57,20.80%,0,0,177,267,7,0,0,0,118,118,118,100.00%,0,0,118,0,75,0,0,0,0,.,0,0,0,0,0,0,48,48,48,100.00%,11,33,15,0,1,0,121,121,58,47.93%,9,22,99,0,63,0,43,0,0,0,.,0,0,0,0,0,0
NM-500,1908,1821,1271,66.61%,1504,404,0,197,708,1153,47,80,67,1504,1464,1187,78.92%,0,10,139,546,928,30,32,30,404,357,84,20.79%,58,162,225,17,48,37,0,0,0,.,0,0,0,0,0,0,702,358,294,41.88%,193,442,152,108,83,138,2587,2587,1352,52.26%,384,788,1789,10,486,55,749,148,148,50,33.78%,40,94,53,1,0,1
NM-501,1274,803,496,38.93%,1033,241,0,176,607,605,62,39,110,1033,622,361,34.95%,5,7,121,470,525,38,39,38,241,181,135,56.02%,55,137,80,24,0,72,0,0,0,.,0,0,0,0,0,0,345,345,345,100.00%,112,197,144,4,79,71,1218,1218,666,54.68%,204,465,753,0,318,0,333,0,0,0,.,0,0,0,0,0,0
NV-500,4185,3947,3947,94.31%,3482,703,0,526,1582,2592,11,385,211,3482,3244,3244,93.16%,20,170,513,1546,1930,6,61,124,703,703,703,100.00%,13,36,662,5,324,87,0,0,0,.,0,0,0,0,0,0,1872,1822,1822,97.33%,366,1313,559,0,338,110,2142,2142,2142,100.00%,216,498,1644,0,1637,0,918,628,628,628,100.00%,0,0,628,0,20,6
NV-501,1516,1425,1353,89.25%,1116,400,0,148,250,1262,4,95,98,1116,1083,1083,97.04%,0,84,94,192,920,4,5,49,400,342,270,67.50%,54,58,342,0,90,49,0,0,0,.,0,0,0,0,0,0,93,83,83,89.25%,13,41,52,0,59,0,461,461,461,100.00%,40,84,377,0,280,0,87,189,189,189,100.00%,40,123,66,0,0,0
NV-502,157,133,133,84.71%,98,59,0,20,81,76,0,0,0,98,79,79,80.61%,0,0,8,40,58,0,0,0,59,54,54,91.53%,12,41,18,0,0,0,0,0,0,.,0,0,0,0,0,0,88,88,88,100.00%,8,32,56,0,43,0,141,141,141,100.00%,44,46,95,0,111,0,0,106,106,106,100.00%,22,44,62,0,8,0
NY-500,894,845,835,93.40%,717,165,12,93,310,570,14,68,48,717,668,658,91.77%,56,88,80,284,425,8,0,8,165,165,165,100.00%,13,26,133,6,68,40,12,12,12,100.00%,0,0,12,0,0,0,470,421,470,100.00%,89,319,151,0,16,40,1453,1453,1453,100.00%,170,522,931,0,230,4,542,226,226,226,100.00%,52,147,79,0,0,0
NY-501,648,628,585,90.28%,607,41,0,84,267,381,0,0,0,607,587,560,92.26%,0,0,73,231,376,0,0,0,41,41,25,60.98%,11,36,5,0,0,0,0,0,0,.,0,0,0,0,0,0,306,306,219,71.57%,64,203,103,0,5,0,315,315,182,57.78%,17,40,267,8,124,8,55,0,0,0,.,0,0,0,0,0,0
NY-503,674,652,421,62.46%,515,155,4,99,295,376,3,32,16,515,493,376,73.01%,35,148,84,273,239,3,0,8,155,155,41,26.45%,15,22,133,0,28,8,4,4,4,100.00%,0,0,4,0,4,0,218,102,102,46.79%,56,127,91,0,28,0,838,838,828,98.81%,99,297,541,0,103,8,227,25,25,0,0.00%,2,5,20,0,0,0
NY-505,1265,1194,1194,94.39%,1098,167,0,200,604,643,18,51,40,1098,1034,1034,94.17%,0,6,180,539,541,18,7,25,167,160,160,95.81%,20,65,102,0,44,15,0,0,0,.,0,0,0,0,0,0,497,464,464,93.36%,99,338,159,0,39,16,921,921,921,100.00%,94,235,686,0,182,4,212,881,875,863,97.96%,191,599,282,0,83,3
NY-507,294,274,264,89.80%,202,92,0,33,73,221,0,0,12,202,182,182,90.10%,0,165,16,36,166,0,0,12,92,92,82,89.13%,17,37,55,0,0,0,0,0,0,.,0,0,0,0,0,0,190,85,85,44.74%,40,127,63,0,32,0,463,463,463,100.00%,45,149,314,0,14,0,76,10,10,0,0.00%,3,9,1,0,0,0
