,GEOID,NAME,county,state,total_pop,ALAND,AWATER,metro,nonmetro,percent_urban,percent_rural,urban,rural,disadvantaged_county,persistent_poverty_county,percent_poc,percent_poc_bucket,poverty_rate,poverty_rate_bucket,pop_density,pop_density_bucket,med_hh_income,med_hh_income_bucket,broadband_speed,hh_int_access,transport_costs,annual_vehicle_mi_per_hh,employment_access_index,commute_time,freq_fatal_accidents,pub_transit_commute,green_commute,pub_transit_stops,avg_hh_person_trips,access_to_car,highway_miles,ghg_per_acre,ozone,pm25,diesel_pm,contaminated_sites,superfund_site,water_system_violations,energy_cost_hh,housing_cost_burden,overcrowded_housing,vacancy_rate,homelessness,incomplete_plumbing,incomplete_kitchen,housing_units,permits,transport_trade_jobs,capacity_housing,capacity_environment,capacity_transport,airports_primary,bridges,bridges_poor_condition,docks,rr_freight_route_miles,rr_pax_route_miles,rr_incident_number,rr_incident_killed,hud_pbs8,hud_hcv,hud_202,hud_ph,stations_elevated,stations_subway,intercity_km,rail_transit_km,cnw_500,age_under_18,age_over_64
310,09110,"Capitol Planning Region, Connecticut",Capitol Planning Region,Connecticut,970675,2660771860,48836864,1,0,0.874263474,0.571363125,1,1,0,0,0.362522045,8,0.104149467,3,895.3490009,10,77839.77112,10,228.2909586,0.869227373,17.29220641,16630.29284,26582.95925,0.144927633,7.92411E-05,0.030474617,0.057087222,0.004707034,8.41,0.906453402,6.40037E-07,10.63780233,66.744659,7.130023868,0.176937968,0.000112804,1.03021E-06,0.010945043,0.027423663,0.504655592,0.001149841,0.069552086,0.000528879,0.008682146,0.015299831,0.421895342,0.001189441,0.042168896,0.000934401,0.001674093,0.00146702,9.05349E-07,0.001011108,0.069568364,3.6214E-06,0.000114613,3.12346E-05,1.379E-05,9.05349E-07,0.007148358,0.01192639,0.000427007,0.003406859,0,0,0.000100077,5.00477E-05,0.005336927,0.204501865,0.169281574
311,09120,"Greater Bridgeport Planning Region, Connecticut",Greater Bridgeport Planning Region,Connecticut,321347,363067865,253764138,1,0,0.944518544,0.332159164,1,0,0,0,0.389614172,8,0.089244158,2,1510.969798,10,97539,10,223.6222222,0.90089547,15,16777,29178,0.281332348,6.03619E-05,0.10214482,0.131213767,1.55595E-05,8.898571429,0.926093256,1.66851E-06,20.92,74.51779487,7.888025774,0.257178282,0.000501016,6.2238E-06,0.014227264,0.022286168,0.540612297,0.002219839,0.078163861,0.008617243,0.009144362,0.013699179,0.396406871,0.001916855,0.024732475,0.000918011,0.001381684,0.001671091,0,0.000586319,0.073809524,6.97999E-07,7.21033E-05,4.48116E-05,1.1168E-05,1.396E-06,0.003258959,0.005736159,0.00017101,0.003047465,6.97999E-07,0,0.000153412,7.17885E-05,0.002287593,0.224655991,0.159002484
312,09130,"Lower Connecticut River Valley Planning Region, Connecticut",Lower Connecticut River Valley Planning Region,Connecticut,172669,1098452313,241091041,1,0,0.707746404,0.751562145,1,1,0,0,0.173544575,5,0.071458862,1,438.1988916,9,79298.31127,10,206.7725683,0.875239521,19,19068.28582,11492.37099,0.208356092,8.56042E-05,0.015000586,0.050101264,0.005999919,8.253529412,0.949295213,3.19376E-06,8.525997198,72.69228386,6.999941002,0.139593274,0.000239694,5.79143E-06,0.068516093,0.027241705,0.50547618,0.000211685,0.113667672,0.039615191,0.00662382,0.009821913,0.469431008,0.001370693,0.027077523,0.000839757,0.001633183,0.001940128,0,0.001965796,0.072582432,2.55518E-05,0.000283445,0.000140305,5.79143E-06,0,0.004535244,0.006502819,0.000676953,0.001839705,0,0,0.000410216,0.000122795,0.0174239,0.17765728,0.20235901
313,09140,"Naugatuck Valley Planning Region, Connecticut",Naugatuck Valley Planning Region,Connecticut,444985,1069106116,22748115,1,0,0.898594143,0.621176673,1,1,0,0,0.353336018,8,0.104446545,3,806.002621,10,81786.43976,10,238.4330526,0.863777451,18.35665161,17071.30273,23642.67605,0.191779482,8.78308E-05,0.039149455,0.074556311,0.00320685,8.396703297,0.900409183,1.10011E-06,13.76666265,68.33902255,7.533777333,0.15372916,0.000297219,4.99854E-06,0.012588838,0.028818665,0.516921628,0.001287436,0.098483403,0.061249242,0.012047412,0.015103702,0.433385725,0.001151279,0.033786964,0.000831489,0.001530389,0.001424767,9.62055E-07,0.001064856,0.071598745,6.60247E-06,0.000139962,8.86079E-05,1.43836E-05,1.18229E-06,0.007218585,0.014477322,0.000575804,0.003669315,1.10116E-07,0,0.000258972,0.000130871,0.004919076,0.202830122,0.176940926
314,09150,"Northeastern Connecticut Planning Region, Connecticut",Northeastern Connecticut Planning Region,Connecticut,95529,1434573470,23995619,0,1,0.499836162,0.914457778,0,1,0,0,0.182611725,6,0.114357057,4,230.8400988,9,77183.38133,10,207.6209857,0.861460339,19.96351263,20344.83923,7047.922033,0.249056811,0.000102461,0.009883749,0.037294789,4.18721E-05,8.311176471,0.932985809,4.57239E-06,4.964160912,63.63774423,5.815033107,0.091575973,0.000238402,2.88408E-05,0.084902653,0.034273834,0.507026955,0.000108589,0.086002293,0.764642283,0.035613778,0.020542953,0.427980014,0.001116446,0.024934175,0.000785102,0.000983994,0.00169582,0,0.003032922,0.061719106,3.06713E-06,0.000539903,2.10405E-05,3.27053E-05,0,0.011137731,0.009521224,0.000521851,0.004143761,0,0,0.000100557,1.56927E-05,0.000608035,0.197977336,0.166012124
315,09160,"Northwest Hills Planning Region, Connecticut",Northwest Hills Planning Region,Connecticut,110198,2037392863,55597912,0,1,0.585500671,0.903736541,1,1,0,0,0.152308142,5,0.076522574,1,215.3364854,9,77190.74169,10,191.4539121,0.888772658,18.83881899,19898.98527,10755.00426,0.246936312,0.00010125,0.01442851,0.040060424,0.00021779,8.153333333,0.942520321,4.05276E-06,6.018262137,61.81332297,6.407908067,0.087358852,0.00042472,9.07457E-06,0.046550359,0.030467748,0.495746891,0.000534383,0.144856888,0.179377833,0.013070473,0.018127112,0.481486449,0.000788589,0.01886597,0.000662444,0.001206918,0.00234124,7.74061E-07,0.003951971,0.083164313,3.09624E-06,0.000552878,0.0001409,3.70633E-05,7.74061E-07,0.009318869,0.012874338,0.001348382,0.00655408,0,0,8.55647E-05,4.27901E-05,0.000676631,0.184639274,0.208748371
316,09170,"South Central Connecticut Planning Region, Connecticut",South Central Connecticut Planning Region,Connecticut,564527,950963144,653739738,1,0,0.948452595,0.331358087,1,0,0,0,0.380700522,8,0.111617419,4,1416.068775,10,71370,9,243.3512667,0.853551305,19,16721,24384,0.178818479,9.23185E-05,0.036901269,0.077539407,0.005533836,8.143982301,0.888407735,1.29437E-06,17.04,73.80052313,7.624415831,0.204569074,0.000306451,5.31418E-06,0.008144121,0.029623385,0.519279015,0.001355311,0.09572271,0.000658757,0.012956874,0.014562896,0.430029038,0.001137215,0.035576521,0.000929982,0.002106188,0.001581855,1.07665E-06,0.000937765,0.068886338,7.53657E-06,0.0001236,9.05466E-05,1.29198E-05,1.07665E-06,0.007295404,0.015185122,0.00057924,0.003358082,0,0,0.00027589,0.000140584,0.007315829,0.202185728,0.173952623
317,09180,"Southeastern Connecticut Planning Region, Connecticut",Southeastern Connecticut Planning Region,Connecticut,278880,1549162991,216462800,1,0,0.685014576,0.81400444,1,1,0,0,0.245858978,7,0.087345191,2,376.0441983,9,73344.24716,10,255.7720699,0.886132007,19.07719099,18867.75109,10034.73648,0.163369505,8.08122E-05,0.015739729,0.04710708,0.000114745,8.26516129,0.937787772,1.63689E-06,7.814124518,69.21736484,5.99129655,0.13022256,0.000154072,3.90766E-06,0.048593158,0.027918413,0.463365452,0.001175606,0.112511588,0.00511589,0.022070254,0.019249998,0.460849411,0.001522843,0.020168571,0.001039874,0.002223178,0.001914802,0,0.001373986,0.073920891,1.54009E-05,0.000309365,0.00010565,5.62608E-07,0,0.006461159,0.004001592,0.00119653,0.000919063,0,0,0.000504921,7.87971E-05,0.008254996,0.195174768,0.181185187
318,09190,"Western Connecticut Planning Region, Connecticut",Western Connecticut Planning Region,Connecticut,611765,1378176376,300211454,1,0,0.925354718,0.493363431,1,0,0,0,0.376969198,8,0.088462128,2,1146.438578,10,94694.49609,10,201.7681993,0.900423495,15.20567285,16954.75276,28190.95,0.280207716,6.24818E-05,0.097561203,0.126468994,0.001387788,9.247227723,0.927233221,1.04986E-06,18.6372966,71.98083331,7.89779874,0.253903654,0.000233476,3.02973E-06,0.015728548,0.022719605,0.538881246,0.002126005,0.082461981,0.004990458,0.009402111,0.013972359,0.400757812,0.001860589,0.024298445,0.000975865,0.00165423,0.001816057,0,0.001060949,0.074506757,1.18787E-06,0.000131914,7.84768E-05,1.95598E-05,2.37575E-06,0.005619011,0.009823009,0.000311105,0.00526047,1.18787E-06,0,0.000261081,0.000122172,0.001952426,0.222597748,0.161592635
319,10003,"New Castle County, Delaware",New Castle County,Delaware,558306,1104206939,175316802,1,0,0.939057575,0.497235345,1,0,0,0,0.43597597,9,0.107460672,3,1309.549801,10,75275,10,355.0235389,0.893430294,18,16631,28517,0.183329759,0.000100303,0.03558579,0.065576179,0.003148811,7.809302326,0.932693823,1.21416E-06,17.63,65.75202319,8.057981533,0.28308662,0.000195233,2.14936E-05,0.000712253,0.019555255,0.461696155,0.000740101,0.066049179,0.000695556,0.005650146,0.01164813,0.401647125,0.002655623,0.031373476,0.000766605,0.001457982,0.001232299,0,0.000893775,0.034068136,1.25379E-05,0.000225504,6.77048E-05,6.44808E-05,3.58226E-06,0.005874914,0.006440912,0.000288372,0.002684908,1.79113E-06,0,0.000531938,5.97719E-05,0.012159188,0.215376514,0.156041669
