total_population,total_homeless,homeless_rate,fnd_per_person,pop_AIAN,pop_asian,pop_black,pop_multi,pop_NHPI,pop_white,pop_under_18,pop_18_to_24,pop_25_to_34,pop_35_to_44,pop_45_to_54,pop_55_to_64,pop_over_64,pop_female,pop_male,pop_hisp_latx,pop_non_hisp_latx,disadvantaged_county,persistent_poverty_county,percent_rural,percent_urban,percent_poc,poverty_rate,pop_density,med_hh_income,employment_access_index,housing_cost_burden,overcrowded_housing,vacancy_rate,housing_units,airports_primary,highway_miles,funding_tot,fnd_per_impov,fnd_per_hmls
679037,2740,0.004035126215508139,107.71296998543525,0.05796168628614434,0.032589620198424075,0.034252373026528615,0.25427044205423727,0.0011800181360741937,0.6197458602985915,0.2066042170541716,0.08916197207117299,0.14447688687149388,0.1363283839272077,0.11745707392375256,0.12819470992367543,0.17777675622852585,0.5081700049083794,0.4918299950916206,0.48927941728194413,0.5107205827180559,0,0,0.8176797270000001,0.960185913,0.621748152,0.159027568,2.257728513665063e-4,54308,26891,0.511955987,0.0019190689999999998,0.076523749,0.434602238,1.47267e-6,0.339415286376,73141092,677.3226261338239,26693.829197080293
1415989,1891,0.0013354623517555573,69.7662043984805,0.13198382937905512,0.013155249674324075,0.01921052673233475,0.23031659024032747,0.0010644814590281481,0.6042693225149305,0.22720527984176042,0.09516128023374532,0.12614407112440584,0.12193787873627966,0.10944370812138465,0.12766475006446204,0.19244303187796205,0.5011908973326262,0.4988091026673737,0.4777267100861741,0.5222732899138258,0.8387096774193549,0.3548387096774194,0.9955461650267008,0.4598384898979468,0.6386405542373458,0.19864661184062943,4.639937662421957e-6,50231.276454125,4791.015441504136,0.4606555839002733,0.003634448865219442,0.19732696134569674,0.45722671581440677,4.2373202028970565e-6,0.06444936927130211,98788178,351.20762318590494,1685.2011736408454
2228866,7906,0.003547095249333069,70.67396694103638,0.012439149263285066,0.12014651721337032,0.1391908522331163,0.17812131060738381,0.009242655747107167,0.5408595149357374,0.22537017757711778,0.08033564045821627,0.1464427029110231,0.14107336238601703,0.13032596204317445,0.12065931804666914,0.1557928365777822,0.4994637634909258,0.5005362365090742,0.3144774266227912,0.6855225733772088,0,0,0.942473425,0.98731075,0.582656382,0.133552933,1.0904801375440619e-4,61048,40777,0.517191439,0.003239698,0.113362156,0.409385311,4.48659e-7,0.0830936846862,157522802,529.183188668993,19924.462686567163
464182,1760,0.0037916162195001098,75.29232499321387,0.015303617218615308,0.062171513266772144,0.026681306490625056,0.15598686962372924,0.00793369341844436,0.7319229999818139,0.2099355389714704,0.08805742521910649,0.14966142708989974,0.13113854037456535,0.11894991561095634,0.12924741240823961,0.17300974032576205,0.49230737946601055,0.5076926205339894,0.2563556133965065,0.7436443866034935,0,0,0.972008322,0.958282973,0.377823785,0.10911267600000002,2.8376387944099988e-5,68272,21406,0.470117529,0.004491822,0.075893367,0.433883692,2.1543299999999994e-6,0.09020448805999999,34949342,690.0419616985093,19857.58068181818
337233,440,0.0013047358947671196,24.28461330889919,0.029657315993325824,0.01992313854939071,0.017902212477336112,0.12460168781962859,0.0018763590803129876,0.8060392860800057,0.20447806541272584,0.068847653502726,0.12208481261217669,0.11978923441341788,0.113951826616329,0.14583673262703042,0.22501167481559417,0.4804116286789735,0.5195883713210265,0.19594560379895687,0.8040543962010431,0.3333333333333333,0,0.9983732606869505,0.3842888784087485,0.28490687453160274,0.11464334167042074,1.3612371870270528e-6,62177.706561931955,3518.2575430043917,0.3968333295162128,0.0013238963344864782,0.1280040343194276,0.45863542434773885,2.965308156081997e-6,0.04356744728143421,8189573,211.8275074248371,1240.844393939394
743084,1056,0.0014211044780939974,217.27810718572866,0.001587184003599629,0.03935859658364473,0.1513078835168815,0.07085946631109355,8.381758221256468e-4,0.7360486937626549,0.20553318798835118,0.09664513014741376,0.13848618426985365,0.12259769675944344,0.1172546772970077,0.13680463830848147,0.1826784852294488,0.5147612682145377,0.48523873178546234,0.09750314295262497,0.902496857047375,0,0,0.578374569,0.918798382,0.300529954,0.140765719,4.367287847739632e-4,62087,27813,0.516915697,9.10848e-4,0.072606007,0.44289071,1.34574e-6,0.84906264008,161455885,1543.54418624984,152893.83049242425
307325,686,0.0022321646465468152,81.73705360774424,0.0018788571734231975,0.01374039676649349,0.028791313127260812,0.042180677859573815,8.692221798755007e-5,0.9133218328552611,0.20327726726736664,0.10385734092646334,0.1118784393272072,0.11360575507192186,0.119055734059556,0.14761600645923437,0.20070945688825062,0.4997005324235696,0.5002994675764304,0.029275023742318905,0.9707249762576811,0.6,0,0.9824616376052656,0.3063426614166339,0.09267713318519157,0.1395310875982201,3.133005142893314e-5,55488.64791019279,4561.060392093061,0.4844312024578541,0.0011722201385569863,0.1845704917955722,0.49621735931474176,3.253888155861059e-6,0.29000987878755097,25119840,585.7981544808578,7323.568513119533
306165,1011,0.0033021410024006662,259.7978834941943,7.74326206061868e-4,0.07472898582787835,0.12589633138558842,0.07169024348980362,6.083991619057535e-4,0.726301713928762,0.182110763728145,0.14283041721892104,0.13299764723788265,0.12124969084325277,0.11329722805304178,0.1295287499920729,0.1779855029266839,0.5142656021105101,0.48573439788948997,0.07027529219276162,0.9297247078072384,0,0,0.762469182,0.904318909,0.287665148,0.120703778,2.260732546710743e-4,68327,35944,0.447744977,4.44888e-4,0.099292774,0.464605686,3.26621e-6,0.6308315509500001,79541019,2152.3591705157255,78675.58753709198
656179,1192,0.0018165774887644987,196.32553617229445,0.004251474486566808,0.030755542510158593,0.08339677676777868,0.06420016938632618,5.060187181062975e-4,0.8168900181310634,0.20863131935881626,0.09958948603049532,0.12758714023638387,0.11945655769751286,0.11802502180385552,0.14346034705723137,0.1832501278157048,0.5086388379296863,0.49136116207031366,0.0503984842561126,0.9496015157438874,0.3333333333333333,0,0.9132438539973307,0.5385915625645404,0.19021791324009762,0.14210126918241975,1.0462261466901145e-4,61473.7724279503,17665.305360275168,0.48261503841636966,9.198580007566035e-4,0.11968911715721244,0.45844350371525755,1.5239743640378616e-6,0.42301929159016866,128824694,1381.5888999574336,36024.80257270693
155086,362,0.002334188772680964,229.0469288007944,0.004030015766782464,0.05100979372338129,0.11300399730459984,0.0983363100495247,3.53280602932229e-4,0.7332666025527794,0.21581047975288686,0.09538667819527202,0.13152008420894343,0.12675200340845724,0.12066815786670676,0.13385713301128424,0.17600546355644944,0.5090004573848862,0.49099954261511375,0.08054359880453375,0.9194564011954662,0,0,0.738908798,0.911515175,0.278148898,0.11399200999999999,2.925655723723987e-4,66488,18642,0.47426246199999994,4.34941e-4,0.177520212,0.450620946,0,0.77829288756,35521972,2009.324414937454,98126.99447513813
